mouse,novice,recruit,apprentice,initiate,journeyman,master,grandmaster,legendary,hero,knight,lord,baron,count,duke,grandduke,archduke
White,0.01750000000,0.00636000000,0.00326000000,0.00218000000,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Grey,0.01750000000,0.00636000000,0.00326000000,0.00218000000,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Brown,0.01750000000,0.00636000000,0.00326000000,0.00218000000,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Pebble,,,,,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Tiny,0.01750000000,0.00636000000,0.00326000000,0.00218000000,0.00112000000,0.00041000000,0.00018600000,0.00008650000,0.00003910000,0.00001770000,0.00000802000,0.00000364000,0.00000166000,0.00000075300,0.00000034200,0.00000001790
Scruffy,,,0.00353000000,0.00237000000,0.00122000000,0.00044500000,0.00020200000,0.00009390000,0.00004250000,0.00001920000,0.00000871000,0.00000395000,0.00000180000,0.00000081800,0.00000037200,0.00000001940
Mutated White,,,,,,0.00044500000,0.00020200000,0.00009390000,0.00004250000,0.00001920000,0.00000871000,0.00000395000,0.00000180000,0.00000081800,0.00000037200,0.00000001940
Cowardly,0.02000000000,0.00727000000,0.00372000000,0.00250000000,0.00128000000,0.00046800000,0.00021200000,0.00009880000,0.00004470000,0.00002020000,0.00000917000,0.00000416000,0.00000189000,0.00000086100,0.00000039100,0.00000002040
Lightning Rod,0.02000000000,0.00727000000,0.00372000000,0.00250000000,0.00128000000,0.00046800000,0.00021200000,0.00009880000,0.00004470000,0.00002020000,0.00000917000,0.00000416000,0.00000189000,0.00000086100,0.00000039100,0.00000002040
Field,0.02000000000,0.00727000000,0.00372000000,0.00250000000,0.00128000000,0.00046800000,0.00021200000,0.00009880000,0.00004470000,0.00002020000,0.00000917000,0.00000416000,0.00000189000,0.00000086100,0.00000039100,0.00000002040
Spotted,0.02000000000,0.00727000000,0.00372000000,0.00250000000,0.00128000000,0.00046800000,0.00021200000,0.00009880000,0.00004470000,0.00002020000,0.00000917000,0.00000416000,0.00000189000,0.00000086100,0.00000039100,0.00000002040
Flying,0.02500000000,0.00909000000,0.00465000000,0.00312000000,0.00160000000,0.00058500000,0.00026500000,0.00012400000,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
Frozen,,,,,0.00160000000,0.00058500000,0.00026500000,0.00012400000,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
Dwarf,0.02500000000,0.00909000000,0.00465000000,0.00312000000,0.00160000000,0.00058500000,0.00026500000,0.00012400000,0.00005590000,0.00002530000,0.00001150000,0.00000520000,0.00000237000,0.00000108000,0.00000048900,0.00000002550
