"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Forbidden Grove","open","Ancient","-","17.94%","Gargoyle",9781
"Forbidden Grove","open","Ancient","-","15.34%","Spider",9781
"Forbidden Grove","open","Ancient","-","12.71%","Ghost",9781
"Forbidden Grove","open","Ancient","-","10.56%","Scavenger",9781
"Forbidden Grove","open","Ancient","-","7.98%","Vampire",9781
"Forbidden Grove","open","Ancient","-","6.96%","Zombie",9781
"Forbidden Grove","open","Ancient","-","6.39%","Bat",9781
"Forbidden Grove","open","Ancient","-","5.33%","Spectre",9781
"Forbidden Grove","open","Ancient","-","4.73%","Golem",9781
"Forbidden Grove","open","Ancient","-","2.91%","Gorgon",9781
"Forbidden Grove","open","Ancient","-","2.65%","Gate Guardian",9781
"Forbidden Grove","open","Ancient","-","2.59%","Reaper",9781
"Forbidden Grove","open","Ancient","-","2.52%","Ravenous Zombie",9781
"Forbidden Grove","open","Ancient","-","1.39%","Sorcerer",9781
"Forbidden Grove","closed","Ancient","-","100.00%","Realm Ripper",1338
"Forbidden Grove","open","Moon","-","49.25%","Lycan",804
"Forbidden Grove","open","Moon","-","22.01%","Scavenger",804
"Forbidden Grove","open","Moon","-","11.69%","Ghost",804
"Forbidden Grove","open","Moon","-","11.07%","Sorcerer",804
"Forbidden Grove","open","Moon","-","5.97%","Vampire",804
"Forbidden Grove","open","Radioactive Blue","-","26.51%","Mutated White",4255
"Forbidden Grove","open","Radioactive Blue","-","26.39%","Mutated Grey",4255
"Forbidden Grove","open","Radioactive Blue","-","18.47%","Ghost",4255
"Forbidden Grove","open","Radioactive Blue","-","13.00%","Mutated Brown",4255
"Forbidden Grove","open","Radioactive Blue","-","9.42%","Zombie",4255
"Forbidden Grove","open","Radioactive Blue","-","4.44%","Ravenous Zombie",4255
"Forbidden Grove","open","Radioactive Blue","-","1.72%","Lycan",4255
"Forbidden Grove","open","Radioactive Blue","-","0.05%","Black Widow",4255
"Forbidden Grove","closed","Radioactive Blue","-","100.00%","Realm Ripper",324
"Forbidden Grove","open","Rancid Radioactive Blue","-","26.03%","Mutated Grey",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","22.60%","Mutated White",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","18.26%","Ghost",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","12.10%","Mutated Brown",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","11.87%","Zombie",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","6.62%","Ravenous Zombie",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","2.28%","Lycan",438
"Forbidden Grove","open","Rancid Radioactive Blue","-","0.23%","Black Widow",438
