"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fort Rox","Day","Gouda","-","29.74%","Meteorite Miner",37313
"Fort Rox","Day","Gouda","-","29.74%","Mischievous Meteorite Miner",37313
"Fort Rox","Day","Gouda","-","17.77%","Hardworking Hauler",37313
"Fort Rox","Day","Gouda","-","11.88%","Meteorite Snacker",37313
"Fort Rox","Day","Gouda","-","5.88%","Meteorite Mover",37313
"Fort Rox","Day","Gouda","-","4.99%","Mining Materials Manager",37313
"Fort Rox","Day","Brie","-","31.05%","Mischievous Meteorite Miner",4824
"Fort Rox","Day","Brie","-","28.46%","Meteorite Miner",4824
"Fort Rox","Day","Brie","-","18.22%","Hardworking Hauler",4824
"Fort Rox","Day","Brie","-","11.92%","Meteorite Snacker",4824
"Fort Rox","Day","Brie","-","5.37%","Meteorite Mover",4824
"Fort Rox","Day","Brie","-","4.98%","Mining Materials Manager",4824
"Fort Rox","Day","SB+","-","24.34%","Mischievous Meteorite Miner",2416
"Fort Rox","Day","SB+","-","24.09%","Meteorite Miner",2416
"Fort Rox","Day","SB+","-","17.59%","Hardworking Hauler",2416
"Fort Rox","Day","SB+","-","15.98%","Mining Materials Manager",2416
"Fort Rox","Day","SB+","-","15.40%","Meteorite Snacker",2416
"Fort Rox","Day","SB+","-","2.61%","Meteorite Mover",2416
"Fort Rox","Day","Crescent","-","23.90%","Meteorite Miner",724
"Fort Rox","Day","Crescent","-","22.24%","Mischievous Meteorite Miner",724
"Fort Rox","Day","Crescent","-","21.27%","Meteorite Snacker",724
"Fort Rox","Day","Crescent","-","15.33%","Hardworking Hauler",724
"Fort Rox","Day","Crescent","-","10.91%","Meteorite Mover",724
"Fort Rox","Day","Crescent","-","6.35%","Mining Materials Manager",724
"Fort Rox","Day","Moon","-","29.61%","Meteorite Snacker",358
"Fort Rox","Day","Moon","-","24.30%","Mischievous Meteorite Miner",358
"Fort Rox","Day","Moon","-","24.02%","Meteorite Miner",358
"Fort Rox","Day","Moon","-","10.34%","Meteorite Mover",358
"Fort Rox","Day","Moon","-","7.54%","Hardworking Hauler",358
"Fort Rox","Day","Moon","-","4.19%","Mining Materials Manager",358
"Fort Rox","Twilight","Gouda","-","27.82%","Battering Ram",550
"Fort Rox","Twilight","Gouda","-","14.91%","Werehauler",550
"Fort Rox","Twilight","Gouda","-","14.91%","Mischievous Wereminer",550
"Fort Rox","Twilight","Gouda","-","13.09%","Reveling Lycanthrope",550
"Fort Rox","Twilight","Gouda","-","13.09%","Nightmancer",550
"Fort Rox","Twilight","Gouda","-","9.45%","Wereminer",550
"Fort Rox","Twilight","Gouda","-","6.73%","Alpha Weremouse",550
"Fort Rox","Twilight","SB+","-","22.31%","Battering Ram",121
"Fort Rox","Twilight","SB+","-","18.18%","Werehauler",121
"Fort Rox","Twilight","SB+","-","12.40%","Nightmancer",121
"Fort Rox","Twilight","SB+","-","12.40%","Mischievous Wereminer",121
"Fort Rox","Twilight","SB+","-","11.57%","Alpha Weremouse",121
"Fort Rox","Twilight","SB+","-","11.57%","Reveling Lycanthrope",121
"Fort Rox","Twilight","SB+","-","8.26%","Wereminer",121
"Fort Rox","Twilight","SB+","-","3.31%","Night Shift Materials Manager",121
"Fort Rox","Twilight","Crescent","-","23.05%","Werehauler",21070
"Fort Rox","Twilight","Crescent","-","19.20%","Alpha Weremouse",21070
"Fort Rox","Twilight","Crescent","-","15.42%","Reveling Lycanthrope",21070
"Fort Rox","Twilight","Crescent","-","14.56%","Mischievous Wereminer",21070
"Fort Rox","Twilight","Crescent","-","14.37%","Wereminer",21070
