"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Laboratory","-","Radioactive Blue","-","34.40%","Monster",779
"Laboratory","-","Radioactive Blue","-","25.42%","Mutated White",779
"Laboratory","-","Radioactive Blue","-","24.26%","Mutated Grey",779
"Laboratory","-","Radioactive Blue","-","15.79%","Mutated Brown",779
"Laboratory","-","Radioactive Blue","-","0.13%","Black Widow",779
"Laboratory","-","SB+","-","27.66%","Sludge Scientist",1034
"Laboratory","-","SB+","-","25.05%","Squeaker Bot",1034
"Laboratory","-","SB+","-","23.50%","Clumsy Chemist",1034
"Laboratory","-","SB+","-","16.73%","Bionic",1034
"Laboratory","-","SB+","-","6.58%","Burglar",1034
"Laboratory","-","SB+","-","0.48%","Black Widow",1034
"Laboratory","-","Gouda","-","30.37%","Sludge Scientist",326
"Laboratory","-","Gouda","-","29.14%","Squeaker Bot",326
"Laboratory","-","Gouda","-","23.01%","Bionic",326
"Laboratory","-","Gouda","-","11.35%","Clumsy Chemist",326
"Laboratory","-","Gouda","-","6.13%","Burglar",326
"Laboratory","-","Brie","-","29.31%","Squeaker Bot",389
"Laboratory","-","Brie","-","29.05%","Bionic",389
"Laboratory","-","Brie","-","28.28%","Sludge Scientist",389
"Laboratory","-","Brie","-","8.48%","Clumsy Chemist",389
"Laboratory","-","Brie","-","4.88%","Burglar",389
"Laboratory","-","Rancid Radioactive Blue","-","28.06%","Mutated White",923
"Laboratory","-","Rancid Radioactive Blue","-","26.33%","Monster",923
"Laboratory","-","Rancid Radioactive Blue","-","25.46%","Mutated Grey",923
"Laboratory","-","Rancid Radioactive Blue","-","19.07%","Mutated Brown",923
"Laboratory","-","Rancid Radioactive Blue","-","1.08%","Black Widow",923
"Laboratory","-","Magical Rancid Radioactive Blue","-","49.38%","Monster",322
"Laboratory","-","Magical Rancid Radioactive Blue","-","17.39%","Mutated Grey",322
"Laboratory","-","Magical Rancid Radioactive Blue","-","16.77%","Mutated White",322
"Laboratory","-","Magical Rancid Radioactive Blue","-","14.60%","Mutated Brown",322
"Laboratory","-","Magical Rancid Radioactive Blue","-","1.86%","Black Widow",322
