"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Mousoleum","No Wall","Radioactive Blue","-","39.87%","Gluttonous Zombie",3065
"Mousoleum","No Wall","Radioactive Blue","-","29.53%","Zombie",3065
"Mousoleum","No Wall","Radioactive Blue","-","24.89%","Ravenous Zombie",3065
"Mousoleum","No Wall","Radioactive Blue","-","5.71%","Coffin Zombie",3065
"Mousoleum","No Wall","Undead Emmental","-","27.92%","Coffin Zombie",530
"Mousoleum","No Wall","Undead Emmental","-","20.57%","Gluttonous Zombie",530
"Mousoleum","No Wall","Undead Emmental","-","18.68%","Zombie",530
"Mousoleum","No Wall","Undead Emmental","-","12.83%","Ravenous Zombie",530
"Mousoleum","No Wall","Undead Emmental","-","11.89%","Grave Robber",530
"Mousoleum","No Wall","Undead Emmental","-","8.11%","Zombot Unipire",530
"Mousoleum","Has Wall","Crimson","-","54.02%","Mousevina von Vermin",1183
"Mousoleum","Has Wall","Crimson","-","15.55%","Vampire",1183
"Mousoleum","Has Wall","Crimson","-","10.74%","Bat",1183
"Mousoleum","Has Wall","Crimson","-","10.40%","Ghost",1183
"Mousoleum","Has Wall","Crimson","-","9.30%","Mummy",1183
"Mousoleum","Has Wall","Radioactive Blue","-","34.63%","Bat",2261
"Mousoleum","Has Wall","Radioactive Blue","-","20.88%","Mummy",2261
"Mousoleum","Has Wall","Radioactive Blue","-","19.68%","Vampire",2261
"Mousoleum","Has Wall","Radioactive Blue","-","15.44%","Ghost",2261
"Mousoleum","Has Wall","Radioactive Blue","-","6.10%","Giant Snail",2261
"Mousoleum","Has Wall","Radioactive Blue","-","2.34%","Monster",2261
"Mousoleum","Has Wall","Radioactive Blue","-","0.93%","Black Widow",2261
"Mousoleum","Has Wall","Undead Emmental","-","32.38%","Ghost",105
"Mousoleum","Has Wall","Undead Emmental","-","32.38%","Mummy",105
"Mousoleum","Has Wall","Undead Emmental","-","15.24%","Grave Robber",105
"Mousoleum","Has Wall","Undead Emmental","-","10.48%","Vampire",105
"Mousoleum","Has Wall","Undead Emmental","-","9.52%","Zombot Unipire",105
