"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso River","-","Gouda","-","34.68%","Pump Raider",126306
"Queso River","-","Gouda","-","30.65%","Tiny Saboteur",126306
"Queso River","-","Gouda","-","29.71%","Queso Extractor",126306
"Queso River","-","Gouda","-","4.96%","Croquet Crusher",126306
"Queso River","-","Brie","-","35.21%","Pump Raider",11365
"Queso River","-","Brie","-","30.67%","Tiny Saboteur",11365
"Queso River","-","Brie","-","29.34%","Queso Extractor",11365
"Queso River","-","Brie","-","4.77%","Croquet Crusher",11365
"Queso River","-","SB+","-","31.12%","Tiny Saboteur",34442
"Queso River","-","SB+","-","29.11%","Pump Raider",34442
"Queso River","-","SB+","-","24.48%","Sleepy Merchant",34442
"Queso River","-","SB+","-","9.61%","Queso Extractor",34442
"Queso River","-","SB+","-","5.69%","Croquet Crusher",34442
"Queso River","-","Wildfire Queso","-","100.00%","Queen Quesada",4464
