"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.26%","Sludge",1589
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.08%","Mutated Siblings",1589
"Toxic Spill","Hero","Rancid Radioactive Blue","-","19.89%","Swamp Runner",1589
"Toxic Spill","Hero","Rancid Radioactive Blue","-","17.31%","Spore",1589
"Toxic Spill","Hero","Rancid Radioactive Blue","-","17.05%","Monster Tail",1589
"Toxic Spill","Hero","Rancid Radioactive Blue","-","5.41%","Bog Beast",1589
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","11.64%","Monster Tail",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.43%","Scrap Metal Monster",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.43%","Gelatinous Octahedron",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.86%","Biohazard",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.55%","Sludge Soaker",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","6.92%","Spore",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","5.03%","Plague Hag",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.72%","Mutant Mongrel",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.72%","Telekinetic Mutant",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.40%","Bog Beast",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.09%","Mutant Ninja",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.77%","Tentacle",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.46%","Sludge",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.14%","Toxic Warrior",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.14%","Outbreak Assassin",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.14%","Mutated Siblings",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.83%","Slimefist",318
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","1.89%","Swamp Runner",318
