"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Bristle Woods Rift","Acolyte","Runic String","-","23.90%","Skeletal Champion",50105
"Bristle Woods Rift","Acolyte","Runic String","-","23.69%","Dread Knight",50105
"Bristle Woods Rift","Acolyte","Runic String","-","9.21%","Vigilant Ward",50105
"Bristle Woods Rift","Acolyte","Runic String","-","8.05%","Absolute Acolyte",50105
"Bristle Woods Rift","Acolyte","Runic String","-","7.74%","Portal Paladin",50105
"Bristle Woods Rift","Acolyte","Runic String","-","6.38%","Timelost Thaumaturge",50105
"Bristle Woods Rift","Acolyte","Runic String","-","5.47%","Timeslither Pythoness",50105
"Bristle Woods Rift","Acolyte","Runic String","-","5.36%","Shackled Servant",50105
"Bristle Woods Rift","Acolyte","Runic String","-","3.72%","Harbinger of Death",50105
"Bristle Woods Rift","Acolyte","Runic String","-","3.66%","Carrion Medium",50105
"Bristle Woods Rift","Acolyte","Runic String","-","2.32%","Timeless Lich",50105
"Bristle Woods Rift","Acolyte","Runic String","-","0.49%","Chronomaster",50105
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","31.12%","Dread Knight",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","12.15%","Vigilant Ward",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","10.50%","Absolute Acolyte",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","10.08%","Portal Paladin",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","8.43%","Timelost Thaumaturge",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","7.19%","Timeslither Pythoness",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","7.14%","Shackled Servant",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","4.89%","Harbinger of Death",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","4.84%","Carrion Medium",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","3.02%","Timeless Lich",55157
"Bristle Woods Rift","Acolyte","Runic String","Rift Antiskele","0.64%","Chronomaster",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","25.91%","Skeletal Champion",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","25.68%","Dread Knight",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","9.98%","Vigilant Ward",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","8.72%","Absolute Acolyte",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","6.92%","Timelost Thaumaturge",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","5.93%","Timeslither Pythoness",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","5.81%","Shackled Servant",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","4.03%","Harbinger of Death",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","3.97%","Carrion Medium",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","2.52%","Timeless Lich",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","-","0.53%","Chronomaster",50105
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","34.60%","Dread Knight",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","13.51%","Vigilant Ward",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","11.68%","Absolute Acolyte",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","9.38%","Timelost Thaumaturge",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","8.00%","Timeslither Pythoness",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","7.94%","Shackled Servant",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","5.43%","Harbinger of Death",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","5.39%","Carrion Medium",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","3.36%","Timeless Lich",55157
"Bristle Woods Rift","Acolyte (Paladin's Bane)","Runic String","Rift Antiskele","0.71%","Chronomaster",55157
"Bristle Woods Rift","Ancient Lab","Runic String","-","34.74%","Epoch Golem",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","24.55%","Chamber Cleaver",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","14.04%","Portal Plunderer",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","13.13%","Dread Knight",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","5.32%","Skeletal Champion",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","3.44%","Portal Paladin",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","2.16%","Clockwork Timespinner",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","1.10%","Record Keeper",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.83%","Record Keeper's Assistant",2182
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.69%","Sentient Slime",2182
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","37.10%","Epoch Golem",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","25.67%","Chamber Cleaver",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","14.91%","Portal Plunderer",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","13.87%","Dread Knight",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","3.62%","Portal Paladin",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","2.26%","Clockwork Timespinner",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","1.08%","Record Keeper",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","0.81%","Record Keeper's Assistant",2338
"Bristle Woods Rift","Ancient Lab","Runic String","Rift Antiskele","0.68%","Sentient Slime",2338
"Bristle Woods Rift","Ancient Lab","Ancient String","-","44.05%","Epoch Golem",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","22.31%","Portal Plunderer",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","9.40%","Dread Knight",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","5.89%","Portal Paladin",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","5.70%","Skeletal Champion",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","5.14%","Record Keeper",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","4.14%","Clockwork Timespinner",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","2.26%","Record Keeper's Assistant",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","-","1.13%","Sentient Slime",1603
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","46.76%","Epoch Golem",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","23.83%","Portal Plunderer",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","9.82%","Dread Knight",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","6.00%","Portal Paladin",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","5.58%","Record Keeper",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","4.49%","Clockwork Timespinner",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","2.37%","Record Keeper's Assistant",1750
"Bristle Woods Rift","Ancient Lab","Ancient String","Rift Antiskele","1.15%","Sentient Slime",1750
"Bristle Woods Rift","Ancient Lab","Magical String","-","40.09%","Epoch Golem",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","21.21%","Portal Plunderer",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","13.25%","Clockwork Timespinner",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","5.58%","Portal Paladin",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","5.17%","Record Keeper's Assistant",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","4.96%","Sentient Slime",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","4.88%","Record Keeper",3871
"Bristle Woods Rift","Ancient Lab","Magical String","-","4.86%","Skeletal Champion",3871
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","42.02%","Epoch Golem",4179
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","22.37%","Portal Plunderer",4179
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","13.97%","Clockwork Timespinner",4179
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","5.98%","Portal Paladin",4179
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","5.38%","Record Keeper's Assistant",4179
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","5.15%","Sentient Slime",4179
"Bristle Woods Rift","Ancient Lab","Magical String","Rift Antiskele","5.13%","Record Keeper",4179
"Bristle Woods Rift","Ancient Lab","Brie String","-","40.95%","Clockwork Timespinner",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","37.23%","Portal Plunderer",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","5.37%","Skeletal Champion",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","5.21%","Record Keeper",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","4.97%","Portal Paladin",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","4.19%","Epoch Golem",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","1.07%","Dread Knight",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","0.51%","Sentient Slime",42312
"Bristle Woods Rift","Ancient Lab","Brie String","-","0.50%","Record Keeper's Assistant",42312
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","43.36%","Clockwork Timespinner",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","39.28%","Portal Plunderer",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","5.51%","Record Keeper",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","5.30%","Portal Paladin",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","4.41%","Epoch Golem",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","1.09%","Dread Knight",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","0.53%","Sentient Slime",47427
"Bristle Woods Rift","Ancient Lab","Brie String","Rift Antiskele","0.52%","Record Keeper's Assistant",47427
"Bristle Woods Rift","Ancient Lab","Swiss String","-","26.37%","Portal Plunderer",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","26.14%","Clockwork Timespinner",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","16.64%","Record Keeper",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","8.99%","Skeletal Champion",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","8.06%","Record Keeper's Assistant",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","6.29%","Portal Paladin",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","5.68%","Sentient Slime",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","-","1.82%","Dread Knight",2155
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","28.84%","Clockwork Timespinner",2302
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","28.45%","Portal Plunderer",2302
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","18.76%","Record Keeper",2302
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","9.07%","Record Keeper's Assistant",2302
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","6.67%","Portal Paladin",2302
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","6.24%","Sentient Slime",2302
"Bristle Woods Rift","Ancient Lab","Swiss String","Rift Antiskele","1.97%","Dread Knight",2302
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","35.98%","Epoch Golem",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","25.43%","Chamber Cleaver",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","14.54%","Portal Plunderer",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","13.59%","Dread Knight",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","5.51%","Skeletal Champion",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","2.23%","Clockwork Timespinner",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","1.14%","Record Keeper",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","0.86%","Record Keeper's Assistant",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","-","0.71%","Sentient Slime",2182
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","38.49%","Epoch Golem",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","26.63%","Chamber Cleaver",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","15.47%","Portal Plunderer",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","14.39%","Dread Knight",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","2.34%","Clockwork Timespinner",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","1.13%","Record Keeper",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","0.84%","Record Keeper's Assistant",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Runic String","Rift Antiskele","0.70%","Sentient Slime",2338
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","46.80%","Epoch Golem",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","23.70%","Portal Plunderer",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","9.99%","Dread Knight",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","6.06%","Skeletal Champion",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","5.46%","Record Keeper",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","4.39%","Clockwork Timespinner",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","2.40%","Record Keeper's Assistant",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","-","1.20%","Sentient Slime",1603
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","49.74%","Epoch Golem",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","25.35%","Portal Plunderer",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","10.45%","Dread Knight",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","5.94%","Record Keeper",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","4.77%","Clockwork Timespinner",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","2.52%","Record Keeper's Assistant",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Ancient String","Rift Antiskele","1.23%","Sentient Slime",1750
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","42.46%","Epoch Golem",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","22.46%","Portal Plunderer",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","14.04%","Clockwork Timespinner",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","5.47%","Record Keeper's Assistant",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","5.25%","Sentient Slime",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","5.17%","Record Keeper",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","-","5.14%","Skeletal Champion",3871
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","Rift Antiskele","44.69%","Epoch Golem",4179
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","Rift Antiskele","23.79%","Portal Plunderer",4179
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","Rift Antiskele","14.86%","Clockwork Timespinner",4179
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","Rift Antiskele","5.72%","Record Keeper's Assistant",4179
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","Rift Antiskele","5.48%","Sentient Slime",4179
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Magical String","Rift Antiskele","5.45%","Record Keeper",4179
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","43.09%","Clockwork Timespinner",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","39.17%","Portal Plunderer",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","5.65%","Skeletal Champion",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","5.48%","Record Keeper",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","4.41%","Epoch Golem",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","1.13%","Dread Knight",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","0.53%","Sentient Slime",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","-","0.53%","Record Keeper's Assistant",42312
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","45.79%","Clockwork Timespinner",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","41.48%","Portal Plunderer",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","5.82%","Record Keeper",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","4.66%","Epoch Golem",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","1.15%","Dread Knight",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","0.56%","Sentient Slime",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Brie String","Rift Antiskele","0.55%","Record Keeper's Assistant",47427
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","28.15%","Portal Plunderer",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","27.90%","Clockwork Timespinner",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","17.75%","Record Keeper",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","9.60%","Skeletal Champion",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","8.60%","Record Keeper's Assistant",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","6.07%","Sentient Slime",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","-","1.94%","Dread Knight",2155
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","Rift Antiskele","30.90%","Clockwork Timespinner",2302
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","Rift Antiskele","30.49%","Portal Plunderer",2302
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","Rift Antiskele","20.10%","Record Keeper",2302
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","Rift Antiskele","9.72%","Record Keeper's Assistant",2302
"Bristle Woods Rift","Ancient Lab (Paladin's Bane)","Swiss String","Rift Antiskele","6.68%","Sentient Slime",2302
