"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Acolyte Realm","-","Runic","-","19.35%","Golem",43174
"Acolyte Realm","-","Runic","-","18.65%","Gorgon",43174
"Acolyte Realm","-","Runic","-","17.79%","Spectre",43174
"Acolyte Realm","-","Runic","-","16.26%","Sorcerer",43174
"Acolyte Realm","-","Runic","-","8.21%","Wight",43174
"Acolyte Realm","-","Runic","-","8.18%","Acolyte",43174
"Acolyte Realm","-","Runic","-","8.12%","Lich",43174
"Acolyte Realm","-","Runic","-","2.04%","Chrono",43174
"Acolyte Realm","-","Runic","-","1.41%","Gate Guardian",43174
"Acolyte Realm","-","Ancient","-","26.06%","Golem",4029
"Acolyte Realm","-","Ancient","-","25.22%","Spectre",4029
"Acolyte Realm","-","Ancient","-","20.80%","Gorgon",4029
"Acolyte Realm","-","Ancient","-","20.65%","Sorcerer",4029
"Acolyte Realm","-","Ancient","-","7.27%","Gate Guardian",4029
"Acolyte Realm","-","Radioactive Blue","-","33.53%","Gate Guardian",2887
"Acolyte Realm","-","Radioactive Blue","-","33.46%","Golem",2887
"Acolyte Realm","-","Radioactive Blue","-","13.13%","Mutated Grey",2887
"Acolyte Realm","-","Radioactive Blue","-","12.61%","Mutated White",2887
"Acolyte Realm","-","Radioactive Blue","-","6.89%","Mutated Brown",2887
"Acolyte Realm","-","Radioactive Blue","-","0.38%","Black Widow",2887
