"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Balack's Cove","Low Tide","Vanilla Stilton","-","18.22%","Davy Jones",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","17.55%","Twisted Fiend",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","17.55%","Brimstone",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","15.47%","Enslaved Spirit",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","8.73%","Elub Lich",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","8.63%","Nerg Lich",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","8.29%","Derr Lich",11261
"Balack's Cove","Low Tide","Vanilla Stilton","-","5.57%","Tidal Fisher",11261
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","20.66%","Enslaved Spirit",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","17.94%","Derr Lich",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","17.66%","Nerg Lich",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","17.65%","Elub Lich",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","12.91%","Balack the Banished",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","4.93%","Davy Jones",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","4.18%","Twisted Fiend",13907
"Balack's Cove","Low Tide","Vengeful Vanilla Stilton","-","4.06%","Brimstone",13907
"Balack's Cove","Medium Tide","Vanilla Stilton","-","19.03%","Davy Jones",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","17.49%","Brimstone",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","15.61%","Twisted Fiend",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","15.27%","Enslaved Spirit",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","10.92%","Elub Lich",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","9.56%","Derr Lich",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","7.08%","Nerg Lich",1172
"Balack's Cove","Medium Tide","Vanilla Stilton","-","5.03%","Riptide",1172
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","21.67%","Derr Lich",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","19.97%","Nerg Lich",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","19.87%","Elub Lich",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","15.90%","Balack the Banished",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","13.48%","Enslaved Spirit",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","2.83%","Riptide",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","2.78%","Davy Jones",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","1.80%","Brimstone",1943
"Balack's Cove","Medium Tide","Vengeful Vanilla Stilton","-","1.70%","Twisted Fiend",1943
"Balack's Cove","High Tide","Vanilla Stilton","-","100.00%","Riptide",226
"Balack's Cove","High Tide","Vengeful Vanilla Stilton","-","100.00%","Riptide",169
