"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Bristle Woods Rift","Acolyte","Runic String","-","31.65%","Portal Paladin",12029
"Bristle Woods Rift","Acolyte","Runic String","-","15.88%","Skeletal Champion",12029
"Bristle Woods Rift","Acolyte","Runic String","-","15.56%","Dread Knight",12029
"Bristle Woods Rift","Acolyte","Runic String","-","11.27%","Absolute Acolyte",12029
"Bristle Woods Rift","Acolyte","Runic String","-","6.98%","Vigilant Ward",12029
"Bristle Woods Rift","Acolyte","Runic String","-","4.65%","Timelost Thaumaturge",12029
"Bristle Woods Rift","Acolyte","Runic String","-","4.00%","Timeslither Pythoness",12029
"Bristle Woods Rift","Acolyte","Runic String","-","3.67%","Shackled Servant",12029
"Bristle Woods Rift","Acolyte","Runic String","-","2.54%","Harbinger of Death",12029
"Bristle Woods Rift","Acolyte","Runic String","-","2.19%","Carrion Medium",12029
"Bristle Woods Rift","Acolyte","Runic String","-","1.37%","Timeless Lich",12029
"Bristle Woods Rift","Acolyte","Runic String","-","0.24%","Chronomaster",12029
"Bristle Woods Rift","Ancient Lab","Runic String","-","35.91%","Epoch Golem",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","19.51%","Chamber Cleaver",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","15.97%","Portal Plunderer",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","11.71%","Dread Knight",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","8.09%","Portal Paladin",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","4.26%","Skeletal Champion",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","2.53%","Clockwork Timespinner",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","1.08%","Sentient Slime",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.65%","Record Keeper",1384
"Bristle Woods Rift","Ancient Lab","Runic String","-","0.29%","Record Keeper's Assistant",1384
"Bristle Woods Rift","Entrance","Runic String","-","79.48%","Vigilant Ward",502
"Bristle Woods Rift","Entrance","Runic String","-","10.96%","Portal Paladin",502
"Bristle Woods Rift","Entrance","Runic String","-","3.59%","Skeletal Champion",502
"Bristle Woods Rift","Entrance","Runic String","-","2.99%","Portal Plunderer",502
"Bristle Woods Rift","Entrance","Runic String","-","2.39%","Epoch Golem",502
"Bristle Woods Rift","Entrance","Runic String","-","0.60%","Clockwork Timespinner",502
"Bristle Woods Rift","Frozen Alcove","Runic String","-","51.41%","Sentient Slime",2836
"Bristle Woods Rift","Frozen Alcove","Runic String","-","36.18%","Dread Knight",2836
"Bristle Woods Rift","Frozen Alcove","Runic String","-","11.99%","Portal Paladin",2836
"Bristle Woods Rift","Frozen Alcove","Runic String","-","0.42%","Harbinger of Death",2836
"Bristle Woods Rift","Gearworks","Runic String","-","39.50%","Dread Knight",2296
"Bristle Woods Rift","Gearworks","Runic String","-","21.65%","Chamber Cleaver",2296
"Bristle Woods Rift","Gearworks","Runic String","-","11.54%","Portal Plunderer",2296
"Bristle Woods Rift","Gearworks","Runic String","-","8.45%","Portal Paladin",2296
"Bristle Woods Rift","Gearworks","Runic String","-","8.19%","Skeletal Champion",2296
"Bristle Woods Rift","Gearworks","Runic String","-","3.88%","Clockwork Timespinner",2296
"Bristle Woods Rift","Gearworks","Runic String","-","3.75%","Sentient Slime",2296
"Bristle Woods Rift","Gearworks","Runic String","-","2.18%","Record Keeper",2296
"Bristle Woods Rift","Gearworks","Runic String","-","0.87%","Record Keeper's Assistant",2296
"Bristle Woods Rift","Guard Barracks","Runic String","-","64.99%","Portal Paladin",7441
"Bristle Woods Rift","Guard Barracks","Runic String","-","18.94%","Dread Knight",7441
"Bristle Woods Rift","Guard Barracks","Runic String","-","13.09%","Epoch Golem",7441
"Bristle Woods Rift","Guard Barracks","Runic String","-","1.83%","Clockwork Timespinner",7441
"Bristle Woods Rift","Guard Barracks","Runic String","-","1.16%","Sentient Slime",7441
"Bristle Woods Rift","Hidden Treasury","Runic String","-","23.75%","Timeslither Pythoness",501
"Bristle Woods Rift","Hidden Treasury","Runic String","-","20.16%","Timeless Lich",501
"Bristle Woods Rift","Hidden Treasury","Runic String","-","10.98%","Portal Paladin",501
"Bristle Woods Rift","Hidden Treasury","Runic String","-","9.98%","Epoch Golem",501
"Bristle Woods Rift","Hidden Treasury","Runic String","-","8.58%","Portal Plunderer",501
