"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Catacombs","-","Radioactive Blue","-","16.00%","Skeleton",14360
"Catacombs","-","Radioactive Blue","-","14.21%","Ghost",14360
"Catacombs","-","Radioactive Blue","-","9.03%","Ooze",14360
"Catacombs","-","Radioactive Blue","-","8.80%","Spider",14360
"Catacombs","-","Radioactive Blue","-","8.65%","Scavenger",14360
"Catacombs","-","Radioactive Blue","-","7.89%","Keeper's Assistant",14360
"Catacombs","-","Radioactive Blue","-","6.87%","Giant Snail",14360
"Catacombs","-","Radioactive Blue","-","6.39%","Mummy",14360
"Catacombs","-","Radioactive Blue","-","4.54%","Terror Knight",14360
"Catacombs","-","Radioactive Blue","-","4.28%","Vampire",14360
"Catacombs","-","Radioactive Blue","-","4.06%","Zombie",14360
"Catacombs","-","Radioactive Blue","-","3.38%","Bat",14360
"Catacombs","-","Radioactive Blue","-","2.59%","Golem",14360
"Catacombs","-","Radioactive Blue","-","1.62%","Keeper",14360
"Catacombs","-","Radioactive Blue","-","0.88%","Lycan",14360
"Catacombs","-","Radioactive Blue","-","0.44%","Monster",14360
"Catacombs","-","Radioactive Blue","-","0.24%","Gluttonous Zombie",14360
"Catacombs","-","Radioactive Blue","-","0.14%","Black Widow",14360
"Catacombs","-","Ancient","-","16.84%","Skeleton",8266
"Catacombs","-","Ancient","-","14.23%","Spider",8266
"Catacombs","-","Ancient","-","14.19%","Ooze",8266
"Catacombs","-","Ancient","-","13.34%","Scavenger",8266
"Catacombs","-","Ancient","-","13.02%","Keeper's Assistant",8266
"Catacombs","-","Ancient","-","12.03%","Keeper",8266
"Catacombs","-","Ancient","-","7.14%","Terror Knight",8266
"Catacombs","-","Ancient","-","4.75%","Vampire",8266
"Catacombs","-","Ancient","-","4.46%","Golem",8266
"Catacombs","-","Moon","-","46.60%","Lycan",779
"Catacombs","-","Moon","-","18.49%","Scavenger",779
"Catacombs","-","Moon","-","10.65%","Ghost",779
"Catacombs","-","Moon","-","6.68%","Mummy",779
"Catacombs","-","Moon","-","6.42%","Bat",779
"Catacombs","-","Moon","-","5.65%","Zombie",779
"Catacombs","-","Moon","-","5.13%","Vampire",779
"Catacombs","-","Moon","-","0.39%","Gluttonous Zombie",779
"Catacombs","-","Undead Emmental","-","16.89%","Mummy",1978
"Catacombs","-","Undead Emmental","-","14.46%","Ghost",1978
"Catacombs","-","Undead Emmental","-","13.80%","Grave Robber",1978
"Catacombs","-","Undead Emmental","-","11.43%","Vampire",1978
"Catacombs","-","Undead Emmental","-","10.92%","Zombot Unipire",1978
"Catacombs","-","Undead Emmental","-","10.16%","Skeleton",1978
"Catacombs","-","Undead Emmental","-","8.54%","Terror Knight",1978
"Catacombs","-","Undead Emmental","-","7.68%","Ravenous Zombie",1978
"Catacombs","-","Undead Emmental","-","3.59%","Zombie",1978
"Catacombs","-","Undead Emmental","-","2.53%","Gluttonous Zombie",1978
"Catacombs","-","Radioactive Blue","Antiskele","16.53%","Ghost",1416
"Catacombs","-","Radioactive Blue","Antiskele","10.88%","Ooze",1416
"Catacombs","-","Radioactive Blue","Antiskele","10.73%","Keeper's Assistant",1416
"Catacombs","-","Radioactive Blue","Antiskele","9.96%","Spider",1416
"Catacombs","-","Radioactive Blue","Antiskele","9.89%","Scavenger",1416
"Catacombs","-","Radioactive Blue","Antiskele","9.18%","Giant Snail",1416
"Catacombs","-","Radioactive Blue","Antiskele","6.92%","Mummy",1416
"Catacombs","-","Radioactive Blue","Antiskele","5.01%","Vampire",1416
"Catacombs","-","Radioactive Blue","Antiskele","4.66%","Terror Knight",1416
"Catacombs","-","Radioactive Blue","Antiskele","4.38%","Zombie",1416
"Catacombs","-","Radioactive Blue","Antiskele","4.24%","Bat",1416
"Catacombs","-","Radioactive Blue","Antiskele","3.25%","Golem",1416
"Catacombs","-","Radioactive Blue","Antiskele","2.54%","Keeper",1416
"Catacombs","-","Radioactive Blue","Antiskele","0.92%","Lycan",1416
"Catacombs","-","Radioactive Blue","Antiskele","0.49%","Monster",1416
"Catacombs","-","Radioactive Blue","Antiskele","0.28%","Gluttonous Zombie",1416
"Catacombs","-","Radioactive Blue","Antiskele","0.14%","Black Widow",1416
"Catacombs","-","Ancient","Antiskele","18.55%","Spider",3995
"Catacombs","-","Ancient","Antiskele","17.87%","Ooze",3995
"Catacombs","-","Ancient","Antiskele","16.22%","Keeper's Assistant",3995
"Catacombs","-","Ancient","Antiskele","14.44%","Scavenger",3995
"Catacombs","-","Ancient","Antiskele","13.87%","Keeper",3995
"Catacombs","-","Ancient","Antiskele","8.61%","Terror Knight",3995
"Catacombs","-","Ancient","Antiskele","5.36%","Golem",3995
"Catacombs","-","Ancient","Antiskele","5.08%","Vampire",3995
"Catacombs","-","Undead Emmental","Antiskele","20.55%","Mummy",1888
"Catacombs","-","Undead Emmental","Antiskele","16.79%","Ghost",1888
"Catacombs","-","Undead Emmental","Antiskele","15.36%","Grave Robber",1888
"Catacombs","-","Undead Emmental","Antiskele","11.65%","Zombot Unipire",1888
"Catacombs","-","Undead Emmental","Antiskele","10.81%","Vampire",1888
"Catacombs","-","Undead Emmental","Antiskele","10.65%","Terror Knight",1888
"Catacombs","-","Undead Emmental","Antiskele","7.42%","Ravenous Zombie",1888
"Catacombs","-","Undead Emmental","Antiskele","4.77%","Zombie",1888
"Catacombs","-","Undead Emmental","Antiskele","2.01%","Gluttonous Zombie",1888
