Location,Phase,Cheese,Charm,Attraction Rate,Mouse,Sample Size
Event,Great Winter Hunt,SB+,-,0.00%,Black Diamond Racer,
Event,Great Winter Hunt,SB+,-,0.00%,Great Winter Hunt Impostor,
Event,Great Winter Hunt,SB+,-,0.00%,Snowball Hoarder,
Event,Great Winter Hunt,SB+,-,0.00%,Reinbo,
Event,Great Winter Hunt,SB+,-,0.00%,Snow Sorceress,
Event,Great Winter Hunt,SB+,-,0.00%,Snow Boulder,
Event,Great Winter Hunt,SB+,-,0.00%,S.N.O.W. Golem,
Event,Great Winter Hunt,SB+,-,0.00%,Snow Golem Architect,
Event,Great Winter Hunt,SB+,-,0.00%,Sporty Ski Instructor,
Event,Great Winter Hunt,SB+,-,0.00%,Toboggan Technician,
Event,Great Winter Hunt,SB+,-,0.00%,Ridiculous Sweater,
Event,Great Winter Hunt,SB+,-,0.00%,Ribbon,
Event,Great Winter Hunt,SB+,-,0.00%,Nitro Racer,
Event,Great Winter Hunt,SB+,-,0.00%,Nice Knitting,
Event,Great Winter Hunt,SB+,-,0.00%,Triple Lutz,
Event,Great Winter Hunt,SB+,-,0.00%,Snowglobe,
Event,Great Winter Hunt,SB+,-,0.00%,Rainbow Racer,
Event,Great Winter Hunt,SB+,-,0.00%,Joy,
Event,Great Winter Hunt,SB+,-,0.00%,Iceberg Sculptor,
Event,Great Winter Hunt,SB+,-,0.00%,Confused Courier,
Event,Great Winter Hunt,SB+,-,0.00%,Double Black Diamond Racer,
Event,Great Winter Hunt,SB+,-,0.00%,Free Skiing,
Event,Great Winter Hunt,SB+,-,0.00%,Gingerbread,
Event,Great Winter Hunt,SB+,-,0.00%,Naughty Nougat,
Event,Great Winter Hunt,SB+,-,0.00%,Snowblower,
Event,Great Winter Hunt,SB+,-,0.00%,Glazy,
Event,Great Winter Hunt,SB+,-,0.00%,Snow Golem Jockey,
Event,Great Winter Hunt,SB+,-,0.00%,Greedy Al,
Event,Great Winter Hunt,SB+,-,0.00%,Young Prodigy Racer,
Event,Great Winter Hunt,SB+,-,0.00%,Toy,
Event,Great Winter Hunt,SB+,-,0.00%,Candy Cane,
Event,Great Winter Hunt,SB+,-,0.00%,Toy Tinkerer,
Event,Great Winter Hunt,SB+,-,0.00%,Destructoy,
Event,Great Winter Hunt,SB+,-,0.00%,Christmas Tree,
Event,Great Winter Hunt,SB+,-,0.00%,Nutcracker,
Event,Great Winter Hunt,SB+,-,0.00%,Elf,
Event,Great Winter Hunt,SB+,-,0.00%,Snow Scavenger,
Event,Great Winter Hunt,SB+,-,0.00%,Ornament,
Event,Great Winter Hunt,SB+,-,0.00%,Snowflake,
Event,Great Winter Hunt,SB+,-,0.00%,Missile Toe,
Event,Great Winter Hunt,SB+,-,0.00%,Wreath Thief,
Event,Great Winter Hunt,SB+,-,0.00%,Stocking,
Event,Great Winter Hunt,SB+,-,0.00%,Snow Fort,
Event,Great Winter Hunt,SB+,-,0.00%,Scrooge,
Event,Great Winter Hunt,SB+,-,0.00%,Mouse of Winter Future,
Event,Great Winter Hunt,SB+,-,0.00%,Mouse of Winter Past,
Event,Great Winter Hunt,SB+,-,0.00%,Mouse of Winter Present,
Event,Great Winter Hunt,SB+,-,0.00%,Slay Ride,
Event,Great Winter Hunt,SB+,-,0.00%,Mad Elf,
Event,Great Winter Hunt,SB+,-,0.00%,Squeaker Claws,
Event,Great Winter Hunt,SB+,-,0.00%,Frigid Foreman,
Event,Great Winter Hunt,SB+,-,0.00%,Stuck Snowball,
Event,Great Winter Hunt,SB+,-,0.00%,Hoarder,
Event,Great Winter Hunt,SB+,-,0.00%,Builder,
Event,Great Winter Hunt,SB+,-,0.00%,Miser,
Event,Great Winter Hunt,SB+,-,0.00%,Glacia Ice Fist,
Event,Great Winter Hunt,SB+,-,0.00%,Tundra Huntress,
Event,Great Winter Hunt,SB+,-,0.00%,Borean Commander,
Event,Great Winter Hunt,SB+,-,0.00%,Shorts-All-Year,
Event,Halloween,SB+,-,0.00%,Captain Cannonball,
Event,Halloween,SB+,-,0.00%,Spectral Swashbuckler,
Event,Halloween,SB+,-,0.00%,Bonbon Gummy Globlin,
Event,Halloween,SB+,-,0.00%,Maize Harvester,
Event,Halloween,SB+,-,0.00%,Ghost Pirate Queen,
Event,Halloween,SB+,-,0.00%,Scorned Pirate,
Event,Halloween,SB+,-,0.00%,Spectral Butler,
Event,Halloween,SB+,-,0.00%,Hollowed Minion,
Event,Halloween,SB+,-,0.00%,Spirit Light,
Event,Halloween,SB+,-,0.00%,Admiral Arrrgh,
Event,Halloween,SB+,-,0.00%,Sugar Rush,
Event,Halloween,SB+,-,0.00%,Gourd Ghoul,
Event,Halloween,SB+,-,0.00%,Teenage Vampire,
Event,Halloween,SB+,-,0.00%,Dire Lycan,
Event,Halloween,SB+,-,0.00%,Creepy Marionette,
