"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Forbidden Grove","Open","Ancient","-","17.96%","Gargoyle",12502
"Forbidden Grove","Open","Ancient","-","15.29%","Spider",12502
"Forbidden Grove","Open","Ancient","-","12.75%","Ghost",12502
"Forbidden Grove","Open","Ancient","-","10.60%","Scavenger",12502
"Forbidden Grove","Open","Ancient","-","8.01%","Vampire",12502
"Forbidden Grove","Open","Ancient","-","6.79%","Zombie",12502
"Forbidden Grove","Open","Ancient","-","6.25%","Bat",12502
"Forbidden Grove","Open","Ancient","-","5.32%","Spectre",12502
"Forbidden Grove","Open","Ancient","-","4.82%","Golem",12502
"Forbidden Grove","Open","Ancient","-","2.90%","Gorgon",12502
"Forbidden Grove","Open","Ancient","-","2.66%","Gate Guardian",12502
"Forbidden Grove","Open","Ancient","-","2.63%","Reaper",12502
"Forbidden Grove","Open","Ancient","-","2.59%","Ravenous Zombie",12502
"Forbidden Grove","Open","Ancient","-","1.43%","Sorcerer",12502
"Forbidden Grove","Open","Moon","-","49.62%","Lycan",1060
"Forbidden Grove","Open","Moon","-","21.42%","Scavenger",1060
"Forbidden Grove","Open","Moon","-","12.17%","Ghost",1060
"Forbidden Grove","Open","Moon","-","11.13%","Sorcerer",1060
"Forbidden Grove","Open","Moon","-","5.66%","Vampire",1060
"Forbidden Grove","Open","Radioactive Blue","-","26.58%","Mutated Grey",4868
"Forbidden Grove","Open","Radioactive Blue","-","26.52%","Mutated White",4868
"Forbidden Grove","Open","Radioactive Blue","-","18.24%","Ghost",4868
"Forbidden Grove","Open","Radioactive Blue","-","12.94%","Mutated Brown",4868
"Forbidden Grove","Open","Radioactive Blue","-","9.39%","Zombie",4868
"Forbidden Grove","Open","Radioactive Blue","-","4.56%","Ravenous Zombie",4868
"Forbidden Grove","Open","Radioactive Blue","-","1.73%","Lycan",4868
"Forbidden Grove","Open","Radioactive Blue","-","0.04%","Black Widow",4868
"Forbidden Grove","Open","Rancid Radioactive Blue","-","26.91%","Mutated Grey",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","22.91%","Mutated White",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","17.82%","Ghost",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","13.09%","Mutated Brown",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","10.73%","Zombie",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","6.00%","Ravenous Zombie",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","2.18%","Lycan",550
"Forbidden Grove","Open","Rancid Radioactive Blue","-","0.36%","Black Widow",550
"Forbidden Grove","Closed","Ancient","-","100.00%","Realm Ripper",1668
"Forbidden Grove","Closed","Radioactive Blue","-","100.00%","Realm Ripper",399
