"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fungal Cavern","-","SB+","-","14.59%","Funglore",10719
"Fungal Cavern","-","SB+","-","14.12%","Lumahead",10719
"Fungal Cavern","-","SB+","-","12.44%","Mush",10719
"Fungal Cavern","-","SB+","-","11.82%","Quillback",10719
"Fungal Cavern","-","SB+","-","11.75%","Floating Spore",10719
"Fungal Cavern","-","SB+","-","8.62%","Mushroom Sprite",10719
"Fungal Cavern","-","SB+","-","8.13%","Bitter Root",10719
"Fungal Cavern","-","SB+","-","7.90%","Nightshade Masquerade",10719
"Fungal Cavern","-","SB+","-","6.94%","Spiked Burrower",10719
"Fungal Cavern","-","SB+","-","1.85%","Sporeticus",10719
"Fungal Cavern","-","SB+","-","1.05%","Mouldy Mole",10719
"Fungal Cavern","-","SB+","-","0.79%","Spore Muncher",10719
"Fungal Cavern","-","Gouda","-","15.03%","Funglore",25548
"Fungal Cavern","-","Gouda","-","15.02%","Mush",25548
"Fungal Cavern","-","Gouda","-","13.60%","Lumahead",25548
"Fungal Cavern","-","Gouda","-","13.59%","Floating Spore",25548
"Fungal Cavern","-","Gouda","-","12.06%","Quillback",25548
"Fungal Cavern","-","Gouda","-","9.82%","Mushroom Sprite",25548
"Fungal Cavern","-","Gouda","-","8.13%","Bitter Root",25548
"Fungal Cavern","-","Gouda","-","6.87%","Spiked Burrower",25548
"Fungal Cavern","-","Gouda","-","2.02%","Mouldy Mole",25548
"Fungal Cavern","-","Gouda","-","1.94%","Spore Muncher",25548
"Fungal Cavern","-","Gouda","-","1.92%","Sporeticus",25548
"Fungal Cavern","-","Brie","-","13.75%","Mush",2363
"Fungal Cavern","-","Brie","-","13.08%","Quillback",2363
"Fungal Cavern","-","Brie","-","11.47%","Lumahead",2363
"Fungal Cavern","-","Brie","-","10.58%","Floating Spore",2363
"Fungal Cavern","-","Brie","-","10.37%","Funglore",2363
"Fungal Cavern","-","Brie","-","9.06%","Mushroom Sprite",2363
"Fungal Cavern","-","Brie","-","8.13%","Bitter Root",2363
"Fungal Cavern","-","Brie","-","7.19%","Spiked Burrower",2363
"Fungal Cavern","-","Brie","-","6.01%","Sporeticus",2363
"Fungal Cavern","-","Brie","-","5.25%","Spore Muncher",2363
"Fungal Cavern","-","Brie","-","5.12%","Mouldy Mole",2363
"Fungal Cavern","-","Glowing Gruyere","-","20.13%","Crag Elder",28949
"Fungal Cavern","-","Glowing Gruyere","-","19.76%","Stone Maiden",28949
"Fungal Cavern","-","Glowing Gruyere","-","17.80%","Dirt Thing",28949
"Fungal Cavern","-","Glowing Gruyere","-","17.57%","Crystalline Slasher",28949
"Fungal Cavern","-","Glowing Gruyere","-","12.86%","Cavern Crumbler",28949
"Fungal Cavern","-","Glowing Gruyere","-","6.02%","Shattered Obsidian",28949
"Fungal Cavern","-","Glowing Gruyere","-","3.87%","Splintered Stone Sentry",28949
"Fungal Cavern","-","Glowing Gruyere","-","2.00%","Gemstone Worshipper",28949
"Fungal Cavern","-","Mineral","-","28.38%","Gemorpher",14380
"Fungal Cavern","-","Mineral","-","24.14%","Crystal Controller",14380
"Fungal Cavern","-","Mineral","-","23.63%","Crystalback",14380
"Fungal Cavern","-","Mineral","-","14.82%","Stalagmite",14380
"Fungal Cavern","-","Mineral","-","6.06%","Crystal Cave Worm",14380
"Fungal Cavern","-","Mineral","-","1.02%","Crystal Observer",14380
"Fungal Cavern","-","Mineral","-","1.01%","Crystal Lurker",14380
"Fungal Cavern","-","Mineral","-","0.94%","Crystal Queen",14380
"Fungal Cavern","-","Gemstone","-","37.11%","Crystal Queen",11979
"Fungal Cavern","-","Gemstone","-","29.56%","Crystal Lurker",11979
"Fungal Cavern","-","Gemstone","-","24.68%","Crystal Observer",11979
"Fungal Cavern","-","Gemstone","-","6.75%","Crystal Golem",11979
"Fungal Cavern","-","Gemstone","-","0.95%","Huntereater",11979
"Fungal Cavern","-","Gemstone","-","0.95%","Diamondhide",11979
"Fungal Cavern","-","Diamond","-","66.69%","Crystal Behemoth",1774
"Fungal Cavern","-","Diamond","-","25.37%","Huntereater",1774
"Fungal Cavern","-","Diamond","-","7.95%","Diamondhide",1774
