"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Furoma Rift","Training Grounds","Maki String","-","24.26%","Shinobi",2040
"Furoma Rift","Training Grounds","Maki String","-","23.14%","Armored Archer",2040
"Furoma Rift","Training Grounds","Maki String","-","11.76%","Dumpling Delivery",2040
"Furoma Rift","Training Grounds","Maki String","-","11.23%","Wealth",2040
"Furoma Rift","Training Grounds","Maki String","-","10.98%","Enlightened Labourer",2040
"Furoma Rift","Training Grounds","Maki String","-","10.25%","Raw Diamond",2040
"Furoma Rift","Training Grounds","Maki String","-","3.38%","Shaolin Kung Fu",2040
"Furoma Rift","Training Grounds","Maki String","-","2.84%","Wandering Monk",2040
"Furoma Rift","Training Grounds","Maki String","-","2.16%","Militant Samurai",2040
"Furoma Rift","Training Grounds","Magical String","-","24.07%","Dumpling Delivery",4816
"Furoma Rift","Training Grounds","Magical String","-","21.97%","Armored Archer",4816
"Furoma Rift","Training Grounds","Magical String","-","19.71%","Shinobi",4816
"Furoma Rift","Training Grounds","Magical String","-","10.57%","Wealth",4816
"Furoma Rift","Training Grounds","Magical String","-","9.70%","Raw Diamond",4816
"Furoma Rift","Training Grounds","Magical String","-","5.25%","Enlightened Labourer",4816
"Furoma Rift","Training Grounds","Magical String","-","3.70%","Shaolin Kung Fu",4816
"Furoma Rift","Training Grounds","Magical String","-","2.87%","Wandering Monk",4816
"Furoma Rift","Training Grounds","Magical String","-","2.18%","Militant Samurai",4816
"Furoma Rift","Training Grounds","Brie String","-","24.91%","Armored Archer",61252
"Furoma Rift","Training Grounds","Brie String","-","23.85%","Dumpling Delivery",61252
"Furoma Rift","Training Grounds","Brie String","-","22.69%","Shinobi",61252
"Furoma Rift","Training Grounds","Brie String","-","7.89%","Raw Diamond",61252
"Furoma Rift","Training Grounds","Brie String","-","4.95%","Wealth",61252
"Furoma Rift","Training Grounds","Brie String","-","4.89%","Rift Guardian",61252
"Furoma Rift","Training Grounds","Brie String","-","4.05%","Shaolin Kung Fu",61252
"Furoma Rift","Training Grounds","Brie String","-","2.86%","Wandering Monk",61252
"Furoma Rift","Training Grounds","Brie String","-","1.97%","Militant Samurai",61252
"Furoma Rift","Training Grounds","Brie String","-","1.96%","Enlightened Labourer",61252
"Furoma Rift","Training Grounds","Swiss String","-","20.71%","Shinobi",3360
"Furoma Rift","Training Grounds","Swiss String","-","20.68%","Armored Archer",3360
"Furoma Rift","Training Grounds","Swiss String","-","15.15%","Dumpling Delivery",3360
"Furoma Rift","Training Grounds","Swiss String","-","10.51%","Rift Guardian",3360
"Furoma Rift","Training Grounds","Swiss String","-","9.29%","Brawny",3360
"Furoma Rift","Training Grounds","Swiss String","-","9.05%","Wealth",3360
"Furoma Rift","Training Grounds","Swiss String","-","5.00%","Raw Diamond",3360
"Furoma Rift","Training Grounds","Swiss String","-","4.38%","Shaolin Kung Fu",3360
"Furoma Rift","Training Grounds","Swiss String","-","3.33%","Wandering Monk",3360
"Furoma Rift","Training Grounds","Swiss String","-","1.90%","Militant Samurai",3360
"Furoma Rift","Training Grounds","Marble String","-","21.11%","Armored Archer",180
"Furoma Rift","Training Grounds","Marble String","-","18.33%","Dumpling Delivery",180
"Furoma Rift","Training Grounds","Marble String","-","16.67%","Shinobi",180
"Furoma Rift","Training Grounds","Marble String","-","13.33%","Rift Guardian",180
"Furoma Rift","Training Grounds","Marble String","-","12.78%","Brawny",180
"Furoma Rift","Training Grounds","Marble String","-","6.67%","Shaolin Kung Fu",180
"Furoma Rift","Training Grounds","Marble String","-","6.11%","Raw Diamond",180
"Furoma Rift","Training Grounds","Marble String","-","2.78%","Wealth",180
"Furoma Rift","Training Grounds","Marble String","-","2.22%","Wandering Monk",180
"Furoma Rift","Pagoda","Maki String","-","19.81%","Student of the Chi Claw",57212
"Furoma Rift","Pagoda","Maki String","-","19.80%","Student of the Chi Belt",57212
"Furoma Rift","Pagoda","Maki String","-","19.60%","Student of the Chi Fang",57212
"Furoma Rift","Pagoda","Maki String","-","12.00%","Shaolin Kung Fu",57212
"Furoma Rift","Pagoda","Maki String","-","6.95%","Wandering Monk",57212
"Furoma Rift","Pagoda","Maki String","-","5.96%","Dancing Assassin",57212
"Furoma Rift","Pagoda","Maki String","-","5.95%","Shinobi",57212
"Furoma Rift","Pagoda","Maki String","-","4.87%","Militant Samurai",57212
"Furoma Rift","Pagoda","Maki String","-","2.96%","Wealth",57212
"Furoma Rift","Pagoda","Maki String","-","2.09%","Raw Diamond",57212
"Furoma Rift","Pagoda","Magical String","-","15.23%","Student of the Chi Fang",2962
"Furoma Rift","Pagoda","Magical String","-","14.58%","Student of the Chi Claw",2962
"Furoma Rift","Pagoda","Magical String","-","14.01%","Student of the Chi Belt",2962
"Furoma Rift","Pagoda","Magical String","-","12.63%","Wandering Monk",2962
"Furoma Rift","Pagoda","Magical String","-","11.92%","Shaolin Kung Fu",2962
"Furoma Rift","Pagoda","Magical String","-","11.51%","Militant Samurai",2962
"Furoma Rift","Pagoda","Magical String","-","8.10%","Shinobi",2962
"Furoma Rift","Pagoda","Magical String","-","5.00%","Dancing Assassin",2962
"Furoma Rift","Pagoda","Magical String","-","3.92%","Wealth",2962
"Furoma Rift","Pagoda","Magical String","-","3.11%","Raw Diamond",2962
"Furoma Rift","Pagoda","Brie String","-","14.93%","Student of the Chi Belt",83469
"Furoma Rift","Pagoda","Brie String","-","14.80%","Student of the Chi Claw",83469
"Furoma Rift","Pagoda","Brie String","-","14.79%","Student of the Chi Fang",83469
"Furoma Rift","Pagoda","Brie String","-","12.11%","Militant Samurai",83469
"Furoma Rift","Pagoda","Brie String","-","11.86%","Shaolin Kung Fu",83469
"Furoma Rift","Pagoda","Brie String","-","11.64%","Wandering Monk",83469
"Furoma Rift","Pagoda","Brie String","-","9.01%","Shinobi",83469
"Furoma Rift","Pagoda","Brie String","-","3.94%","Wealth",83469
"Furoma Rift","Pagoda","Brie String","-","3.89%","Dancing Assassin",83469
"Furoma Rift","Pagoda","Brie String","-","3.02%","Raw Diamond",83469
"Furoma Rift","Pagoda","Swiss String","-","18.92%","Militant Samurai",761
"Furoma Rift","Pagoda","Swiss String","-","18.13%","Wandering Monk",761
"Furoma Rift","Pagoda","Swiss String","-","12.09%","Shaolin Kung Fu",761
"Furoma Rift","Pagoda","Swiss String","-","10.64%","Shinobi",761
"Furoma Rift","Pagoda","Swiss String","-","9.99%","Student of the Chi Belt",761
"Furoma Rift","Pagoda","Swiss String","-","8.94%","Student of the Chi Fang",761
"Furoma Rift","Pagoda","Swiss String","-","7.36%","Student of the Chi Claw",761
"Furoma Rift","Pagoda","Swiss String","-","6.57%","Wealth",761
"Furoma Rift","Pagoda","Swiss String","-","4.34%","Dancing Assassin",761
"Furoma Rift","Pagoda","Swiss String","-","3.02%","Raw Diamond",761
"Furoma Rift","Pagoda","Master Fusion","-","34.10%","Master of the Chi Fang",46269
"Furoma Rift","Pagoda","Master Fusion","-","33.13%","Master of the Chi Belt",46269
"Furoma Rift","Pagoda","Master Fusion","-","32.78%","Master of the Chi Claw",46269
"Furoma Rift","Pagoda","Rift Combat","-","100.00%","Master of the Chi Fang",9996
"Furoma Rift","Pagoda","Rift Glutter","-","100.00%","Master of the Chi Belt",10048
"Furoma Rift","Pagoda","Rift Susheese","-","100.00%","Master of the Chi Claw",10650
"Furoma Rift","Pagoda","Rift Rumble","-","100.00%","Grand Master of the Dojo",49823
"Furoma Rift","Pagoda","Null Onyx Gorgonzola","-","100.00%","Supreme Sensei",23740
"Furoma Rift","Pagoda","Ascended","-","100.00%","Ascended Elder",9032
