"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Gnawnian Express Station","Station","SB+","-","13.15%","Mysterious Traveller",639
"Gnawnian Express Station","Station","SB+","-","12.52%","Travelling Barber",639
"Gnawnian Express Station","Station","SB+","-","12.36%","Angry Train Staff",639
"Gnawnian Express Station","Station","SB+","-","12.36%","Train Conductor",639
"Gnawnian Express Station","Station","SB+","-","11.42%","Passenger",639
"Gnawnian Express Station","Station","SB+","-","10.95%","Photographer",639
"Gnawnian Express Station","Station","SB+","-","5.16%","Stowaway",639
"Gnawnian Express Station","Station","SB+","-","4.54%","Upper Class Lady",639
"Gnawnian Express Station","Station","SB+","-","4.38%","Stuffy Banker",639
"Gnawnian Express Station","Station","SB+","-","4.07%","Farrier",639
"Gnawnian Express Station","Station","SB+","-","3.91%","Tonic Salesman",639
"Gnawnian Express Station","Station","SB+","-","2.66%","Parlour Player",639
"Gnawnian Express Station","Station","SB+","-","2.50%","Bartender",639
"Gnawnian Express Station","Station","Gouda","-","13.44%","Mysterious Traveller",2239
"Gnawnian Express Station","Station","Gouda","-","12.64%","Travelling Barber",2239
"Gnawnian Express Station","Station","Gouda","-","12.55%","Passenger",2239
"Gnawnian Express Station","Station","Gouda","-","12.51%","Angry Train Staff",2239
"Gnawnian Express Station","Station","Gouda","-","12.46%","Train Conductor",2239
"Gnawnian Express Station","Station","Gouda","-","11.39%","Photographer",2239
"Gnawnian Express Station","Station","Gouda","-","5.40%","Upper Class Lady",2239
"Gnawnian Express Station","Station","Gouda","-","4.20%","Stuffy Banker",2239
"Gnawnian Express Station","Station","Gouda","-","3.75%","Tonic Salesman",2239
"Gnawnian Express Station","Station","Gouda","-","3.66%","Parlour Player",2239
"Gnawnian Express Station","Station","Gouda","-","3.53%","Farrier",2239
"Gnawnian Express Station","Station","Gouda","-","2.86%","Bartender",2239
"Gnawnian Express Station","Station","Gouda","-","1.61%","Stowaway",2239
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","15.04%","Cute Crate Carrier",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","11.50%","Travelling Barber",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","10.62%","Photographer",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","10.62%","Mysterious Traveller",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","9.73%","Crate Camo",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","8.85%","Passenger",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","7.96%","Train Conductor",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","6.19%","Angry Train Staff",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","5.31%","Stowaway",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","5.31%","Tonic Salesman",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","4.42%","Upper Class Lady",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","2.65%","Bartender",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","0.88%","Stuffy Banker",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","-","0.88%","Farrier",113
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","-","19.03%","Cute Crate Carrier",373
