"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","No Bounty","SB+","-","24.45%","Pirate",687
"Harbour","No Bounty","SB+","-","9.17%","Burglar",687
"Harbour","No Bounty","SB+","-","8.59%","Spotted",687
"Harbour","No Bounty","SB+","-","7.13%","White",687
"Harbour","No Bounty","SB+","-","5.82%","Grey",687
"Harbour","No Bounty","SB+","-","5.68%","Brown",687
"Harbour","No Bounty","SB+","-","5.68%","Magic",687
"Harbour","No Bounty","SB+","-","4.95%","Pugilist",687
"Harbour","No Bounty","SB+","-","3.78%","Bionic",687
"Harbour","No Bounty","SB+","-","3.78%","Scruffy",687
"Harbour","No Bounty","SB+","-","3.64%","Fog",687
"Harbour","No Bounty","SB+","-","3.49%","Silvertail",687
"Harbour","No Bounty","SB+","-","3.06%","Steel",687
"Harbour","No Bounty","SB+","-","2.77%","Granite",687
"Harbour","No Bounty","SB+","-","2.62%","Dwarf",687
"Harbour","No Bounty","SB+","-","2.04%","Gold",687
"Harbour","No Bounty","SB+","-","2.04%","Diamond",687
"Harbour","No Bounty","SB+","-","1.31%","Black Widow",687
"Harbour","No Bounty","Gouda","-","25.08%","Pirate",618
"Harbour","No Bounty","Gouda","-","8.74%","Dwarf",618
"Harbour","No Bounty","Gouda","-","8.25%","Scruffy",618
"Harbour","No Bounty","Gouda","-","7.77%","White",618
"Harbour","No Bounty","Gouda","-","7.12%","Pugilist",618
"Harbour","No Bounty","Gouda","-","6.96%","Spotted",618
"Harbour","No Bounty","Gouda","-","6.96%","Steel",618
"Harbour","No Bounty","Gouda","-","5.99%","Granite",618
"Harbour","No Bounty","Gouda","-","5.50%","Bionic",618
"Harbour","No Bounty","Gouda","-","5.18%","Grey",618
"Harbour","No Bounty","Gouda","-","4.37%","Brown",618
"Harbour","No Bounty","Gouda","-","4.37%","Diamond",618
"Harbour","No Bounty","Gouda","-","3.72%","Gold",618
"Harbour","No Bounty","Brie","-","24.13%","Pirate",547
"Harbour","No Bounty","Brie","-","10.42%","Scruffy",547
"Harbour","No Bounty","Brie","-","9.32%","Dwarf",547
"Harbour","No Bounty","Brie","-","8.59%","Spotted",547
"Harbour","No Bounty","Brie","-","6.58%","Burglar",547
"Harbour","No Bounty","Brie","-","5.48%","White",547
"Harbour","No Bounty","Brie","-","5.12%","Diamond",547
"Harbour","No Bounty","Brie","-","4.75%","Brown",547
"Harbour","No Bounty","Brie","-","4.75%","Pugilist",547
"Harbour","No Bounty","Brie","-","4.57%","Steel",547
"Harbour","No Bounty","Brie","-","4.39%","Grey",547
"Harbour","No Bounty","Brie","-","4.02%","Gold",547
"Harbour","No Bounty","Brie","-","4.02%","Granite",547
"Harbour","No Bounty","Brie","-","3.84%","Bionic",547
"Harbour","On Bounty","SB+","-","21.43%","Dashing Buccaneer",350
"Harbour","On Bounty","SB+","-","18.57%","Corrupt Commodore",350
"Harbour","On Bounty","SB+","-","15.71%","Bilged Boatswain",350
"Harbour","On Bounty","SB+","-","15.14%","Cabin Boy",350
"Harbour","On Bounty","SB+","-","14.86%","Barmy Gunner",350
"Harbour","On Bounty","SB+","-","14.29%","Pirate",350
"Harbour","On Bounty","Gouda","-","18.41%","Corrupt Commodore",429
"Harbour","On Bounty","Gouda","-","17.48%","Cabin Boy",429
"Harbour","On Bounty","Gouda","-","17.25%","Bilged Boatswain",429
"Harbour","On Bounty","Gouda","-","16.78%","Pirate",429
"Harbour","On Bounty","Gouda","-","16.08%","Barmy Gunner",429
"Harbour","On Bounty","Gouda","-","13.99%","Dashing Buccaneer",429
"Harbour","On Bounty","Brie","-","20.11%","Dashing Buccaneer",373
"Harbour","On Bounty","Brie","-","19.30%","Bilged Boatswain",373
"Harbour","On Bounty","Brie","-","16.89%","Barmy Gunner",373
"Harbour","On Bounty","Brie","-","15.28%","Cabin Boy",373
"Harbour","On Bounty","Brie","-","14.48%","Corrupt Commodore",373
"Harbour","On Bounty","Brie","-","13.94%","Pirate",373
