"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","29.70%","Chipper",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","28.86%","Icebreaker",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","11.74%","Incompetent Ice Climber",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","11.07%","Snow Slinger",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","9.40%","Snow Soldier",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","8.05%","Polar Bear",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","SB+","-","1.17%","Living Salt",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","29.70%","Chipper",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","28.86%","Icebreaker",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","11.74%","Incompetent Ice Climber",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","11.07%","Snow Slinger",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","9.40%","Snow Soldier",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","8.05%","Polar Bear",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Gouda","-","1.17%","Living Salt",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","29.70%","Chipper",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","28.86%","Icebreaker",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","11.74%","Incompetent Ice Climber",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","11.07%","Snow Slinger",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","9.40%","Snow Soldier",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","8.05%","Polar Bear",596
"Iceberg","Treacherous Tunnels (Ultimate Iceberg)","Brie","-","1.17%","Living Salt",596
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","19.60%","Icebreaker",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","18.93%","Chipper",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","10.68%","Stickybomber",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","10.45%","Iceblock",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","9.77%","Snow Slinger",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","9.72%","Saboteur",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","9.55%","Wolfskie",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","5.65%","Snow Bowler",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","4.69%","Heavy Blaster",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","SB+","-","0.96%","Living Salt",1770
"Iceberg","Bombing Run (Ultimate Iceberg)","Gouda","-","19.60%","Icebreaker",1770
