"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Laboratory","-","SB+","-","27.19%","Sludge Scientist",2755
"Laboratory","-","SB+","-","24.32%","Clumsy Chemist",2755
"Laboratory","-","SB+","-","23.41%","Squeaker Bot",2755
"Laboratory","-","SB+","-","16.52%","Bionic",2755
"Laboratory","-","SB+","-","8.20%","Burglar",2755
"Laboratory","-","SB+","-","0.36%","Black Widow",2755
"Laboratory","-","Brie","-","29.05%","Squeaker Bot",1401
"Laboratory","-","Brie","-","28.98%","Bionic",1401
"Laboratory","-","Brie","-","28.27%","Sludge Scientist",1401
"Laboratory","-","Brie","-","8.42%","Clumsy Chemist",1401
"Laboratory","-","Brie","-","5.28%","Burglar",1401
"Laboratory","-","Gouda","-","32.40%","Sludge Scientist",1321
"Laboratory","-","Gouda","-","31.87%","Squeaker Bot",1321
"Laboratory","-","Gouda","-","23.77%","Bionic",1321
"Laboratory","-","Gouda","-","11.96%","Clumsy Chemist",1321
"Laboratory","-","Radioactive Blue","-","32.73%","Monster",2835
"Laboratory","-","Radioactive Blue","-","25.96%","Mutated White",2835
"Laboratory","-","Radioactive Blue","-","25.50%","Mutated Grey",2835
"Laboratory","-","Radioactive Blue","-","15.63%","Mutated Brown",2835
"Laboratory","-","Radioactive Blue","-","0.18%","Black Widow",2835
"Laboratory","-","Rancid Radioactive Blue","-","31.32%","Mutated White",3697
"Laboratory","-","Rancid Radioactive Blue","-","25.37%","Monster",3697
"Laboratory","-","Rancid Radioactive Blue","-","24.15%","Mutated Grey",3697
"Laboratory","-","Rancid Radioactive Blue","-","18.04%","Mutated Brown",3697
"Laboratory","-","Rancid Radioactive Blue","-","1.11%","Black Widow",3697
"Laboratory","-","Magical Rancid Radioactive Blue","-","48.36%","Monster",1886
"Laboratory","-","Magical Rancid Radioactive Blue","-","18.72%","Mutated Grey",1886
"Laboratory","-","Magical Rancid Radioactive Blue","-","16.17%","Mutated White",1886
"Laboratory","-","Magical Rancid Radioactive Blue","-","14.90%","Mutated Brown",1886
"Laboratory","-","Magical Rancid Radioactive Blue","-","1.86%","Black Widow",1886
"Laboratory","-","Limelight","-","100.00%","Mutated Mole",1355
