"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Living Garden","Not Poured","Duskshade Camembert","-","46.80%","Carmine the Apothecary",3263
"Living Garden","Not Poured","Duskshade Camembert","-","35.00%","Shroom",3263
"Living Garden","Not Poured","Duskshade Camembert","-","18.20%","Camoflower",3263
"Living Garden","Not Poured","SB+","-","24.41%","Strawberry Hotcakes",2302
"Living Garden","Not Poured","SB+","-","22.24%","Thistle",2302
"Living Garden","Not Poured","SB+","-","16.81%","Bark",2302
"Living Garden","Not Poured","SB+","-","16.16%","Calalilly",2302
"Living Garden","Not Poured","SB+","-","13.03%","Shroom",2302
"Living Garden","Not Poured","SB+","-","7.34%","Camoflower",2302
"Living Garden","Not Poured","Gouda","-","26.49%","Thistle",13890
"Living Garden","Not Poured","Gouda","-","21.89%","Bark",13890
"Living Garden","Not Poured","Gouda","-","17.90%","Calalilly",13890
"Living Garden","Not Poured","Gouda","-","15.53%","Shroom",13890
"Living Garden","Not Poured","Gouda","-","10.26%","Strawberry Hotcakes",13890
"Living Garden","Not Poured","Gouda","-","7.94%","Camoflower",13890
"Living Garden","Not Poured","Brie","-","26.11%","Thistle",942
"Living Garden","Not Poured","Brie","-","21.44%","Bark",942
"Living Garden","Not Poured","Brie","-","19.00%","Calalilly",942
"Living Garden","Not Poured","Brie","-","16.24%","Shroom",942
"Living Garden","Not Poured","Brie","-","9.45%","Strawberry Hotcakes",942
"Living Garden","Not Poured","Brie","-","7.75%","Camoflower",942
"Living Garden","Poured","Duskshade Camembert","-","52.02%","Carmine the Apothecary",1636
"Living Garden","Poured","Duskshade Camembert","-","31.97%","Shroom",1636
"Living Garden","Poured","Duskshade Camembert","-","16.01%","Camoflower",1636
"Living Garden","Poured","SB+","-","20.93%","Thistle",1777
"Living Garden","Poured","SB+","-","20.09%","Strawberry Hotcakes",1777
"Living Garden","Poured","SB+","-","16.38%","Bark",1777
"Living Garden","Poured","SB+","-","15.14%","Calalilly",1777
"Living Garden","Poured","SB+","-","11.48%","Shroom",1777
"Living Garden","Poured","SB+","-","9.57%","Thirsty",1777
"Living Garden","Poured","SB+","-","6.42%","Camoflower",1777
"Living Garden","Poured","Gouda","-","24.04%","Thistle",7264
"Living Garden","Poured","Gouda","-","20.07%","Bark",7264
"Living Garden","Poured","Gouda","-","16.29%","Calalilly",7264
"Living Garden","Poured","Gouda","-","14.58%","Shroom",7264
"Living Garden","Poured","Gouda","-","10.17%","Thirsty",7264
"Living Garden","Poured","Gouda","-","8.11%","Strawberry Hotcakes",7264
"Living Garden","Poured","Gouda","-","6.75%","Camoflower",7264
"Living Garden","Poured","Brie","-","22.84%","Thistle",683
"Living Garden","Poured","Brie","-","22.55%","Bark",683
"Living Garden","Poured","Brie","-","16.84%","Calalilly",683
"Living Garden","Poured","Brie","-","14.49%","Shroom",683
"Living Garden","Poured","Brie","-","9.08%","Thirsty",683
"Living Garden","Poured","Brie","-","7.47%","Strawberry Hotcakes",683
"Living Garden","Poured","Brie","-","6.73%","Camoflower",683
