"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Moussu Picchu","-","Glowing Gruyere","-","29.76%","Rainwater Purifier",42957
"Moussu Picchu","-","Glowing Gruyere","-","28.29%","Breeze Borrower",42957
"Moussu Picchu","-","Glowing Gruyere","-","16.11%","Cloud Collector",42957
"Moussu Picchu","-","Glowing Gruyere","-","16.08%","Windy Farmer",42957
"Moussu Picchu","-","Glowing Gruyere","-","9.75%","Homeopathic Apothecary",42957
"Moussu Picchu","-","SB+","-","23.83%","Windy Farmer",6949
"Moussu Picchu","-","SB+","-","23.76%","Cloud Collector",6949
"Moussu Picchu","-","SB+","-","17.53%","Breeze Borrower",6949
"Moussu Picchu","-","SB+","-","17.23%","Rainwater Purifier",6949
"Moussu Picchu","-","SB+","-","8.38%","Nightshade Maiden",6949
"Moussu Picchu","-","SB+","-","6.61%","Nightshade Flower Girl",6949
"Moussu Picchu","-","SB+","-","2.68%","Spore Salesman",6949
"Moussu Picchu","-","Gouda","-","22.05%","Windy Farmer",42006
"Moussu Picchu","-","Gouda","-","21.86%","Cloud Collector",42006
"Moussu Picchu","-","Gouda","-","15.56%","Spore Salesman",42006
"Moussu Picchu","-","Gouda","-","14.96%","Nightshade Flower Girl",42006
"Moussu Picchu","-","Gouda","-","12.89%","Breeze Borrower",42006
"Moussu Picchu","-","Gouda","-","12.67%","Rainwater Purifier",42006
"Moussu Picchu","-","Brie","-","22.74%","Cloud Collector",1218
"Moussu Picchu","-","Brie","-","20.53%","Windy Farmer",1218
"Moussu Picchu","-","Brie","-","15.19%","Nightshade Flower Girl",1218
"Moussu Picchu","-","Brie","-","15.02%","Spore Salesman",1218
"Moussu Picchu","-","Brie","-","13.88%","Rainwater Purifier",1218
"Moussu Picchu","-","Brie","-","12.64%","Breeze Borrower",1218
"Moussu Picchu","Rain low","Rainy","-","59.39%","Rain Wallower",5612
"Moussu Picchu","Rain low","Rainy","-","40.61%","Rain Collector",5612
"Moussu Picchu","Rain medium","Rainy","-","57.08%","Rain Summoner",10941
"Moussu Picchu","Rain medium","Rainy","-","42.92%","Monsoon Maker",10941
"Moussu Picchu","Rain high","Rainy","-","56.72%","Monsoon Maker",33815
"Moussu Picchu","Rain high","Rainy","-","43.28%","Rainmancer",33815
"Moussu Picchu","Rain max","Rainy","-","100.00%","Rainmancer",18868
"Moussu Picchu","Wind low","Windy","-","59.50%","Wind Watcher",5758
"Moussu Picchu","Wind low","Windy","-","40.50%","Charming Chimer",5758
"Moussu Picchu","Wind medium","Windy","-","57.25%","Fluttering Flutist",11280
"Moussu Picchu","Wind medium","Windy","-","42.75%","Cycloness",11280
"Moussu Picchu","Wind high","Windy","-","57.39%","Cycloness",37371
"Moussu Picchu","Wind high","Windy","-","42.61%","Wind Warrior",37371
"Moussu Picchu","Wind max","Windy","-","100.00%","Wind Warrior",18894
"Moussu Picchu","Storm low","Dragonvine","-","60.76%","Thunder Strike",2431
"Moussu Picchu","Storm low","Dragonvine","-","39.24%","Violet Stormchild",2431
"Moussu Picchu","Storm medium","Dragonvine","-","58.00%","Thunderlord",
"Moussu Picchu","Storm medium","Dragonvine","-","42.00%","Thundering Watcher",
"Moussu Picchu","Storm high","Dragonvine","-","60.00%","Thundering Watcher",
"Moussu Picchu","Storm high","Dragonvine","-","35.00%","Ful'Mina, The Mountain Queen",
"Moussu Picchu","Storm high","Dragonvine","-","5.00%","Dragoon",
"Moussu Picchu","Storm max","Dragonvine","-","100.00%","Ful'Mina, The Mountain Queen",
