"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso Geyser","Cork Collectors","Bland Queso","-","100.00%","Fuzzy Drake",
"Queso Geyser","Cork Collectors","Mild Queso","-","50.00%","Fuzzy Drake",
"Queso Geyser","Cork Collectors","Mild Queso","-","50.00%","Cork Defender",
"Queso Geyser","Cork Collectors","Medium Queso","-","25.00%","Fuzzy Drake",
"Queso Geyser","Cork Collectors","Medium Queso","-","25.00%","Cork Defender",
"Queso Geyser","Cork Collectors","Medium Queso","-","25.00%","Burly Bruiser",
"Queso Geyser","Cork Collectors","Medium Queso","-","25.00%","Corky, the Collector",
"Queso Geyser","Cork Collectors","Hot Queso","-","20.00%","Fuzzy Drake",
"Queso Geyser","Cork Collectors","Hot Queso","-","20.00%","Cork Defender",
"Queso Geyser","Cork Collectors","Hot Queso","-","20.00%","Burly Bruiser",
"Queso Geyser","Cork Collectors","Hot Queso","-","20.00%","Corky, the Collector",
"Queso Geyser","Cork Collectors","Hot Queso","-","20.00%","Horned Cork Hoarder",
"Queso Geyser","Cork Collectors","Flamin' Queso","-","20.00%","Cork Defender",
"Queso Geyser","Cork Collectors","Flamin' Queso","-","20.00%","Burly Bruiser",
"Queso Geyser","Cork Collectors","Flamin' Queso","-","20.00%","Corky, the Collector",
"Queso Geyser","Cork Collectors","Flamin' Queso","-","20.00%","Horned Cork Hoarder",
"Queso Geyser","Cork Collectors","Flamin' Queso","-","20.00%","Rambunctious Rain Rumbler",
"Queso Geyser","Cork Collectors","Wildfire Queso","-","100.00%","Corkataur",
"Queso Geyser","Pressure Builders","Mild Queso","-","100.00%","Steam Sailor",
"Queso Geyser","Pressure Builders","Medium Queso","-","50.00%","Steam Sailor",
"Queso Geyser","Pressure Builders","Medium Queso","-","50.00%","Warming Wyvern",
"Queso Geyser","Pressure Builders","Hot Queso","-","33.33%","Steam Sailor",
"Queso Geyser","Pressure Builders","Hot Queso","-","33.33%","Warming Wyvern",
"Queso Geyser","Pressure Builders","Hot Queso","-","33.33%","Vaporior",
"Queso Geyser","Pressure Builders","Flamin' Queso","-","25.00%","Steam Sailor",
"Queso Geyser","Pressure Builders","Flamin' Queso","-","25.00%","Warming Wyvern",
"Queso Geyser","Pressure Builders","Flamin' Queso","-","25.00%","Vaporior",
"Queso Geyser","Pressure Builders","Flamin' Queso","-","25.00%","Pyrehyde",
"Queso Geyser","Pressure Builders","Wildfire Queso","-","100.00%","Emberstone Scaled",
"Queso Geyser","Tiny Eruption","Mild Queso","-","100.00%","Mild Spicekin",
"Queso Geyser","Tiny Eruption","Medium Queso","-","50.00%","Mild Spicekin",
"Queso Geyser","Tiny Eruption","Medium Queso","-","50.00%","Smoldersnap",
"Queso Geyser","Tiny Eruption","Hot Queso","-","33.33%","Mild Spicekin",
"Queso Geyser","Tiny Eruption","Hot Queso","-","33.33%","Smoldersnap",
"Queso Geyser","Tiny Eruption","Hot Queso","-","33.33%","Ignatia",
"Queso Geyser","Tiny Eruption","Flamin' Queso","-","25.00%","Mild Spicekin",
"Queso Geyser","Tiny Eruption","Flamin' Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Tiny Eruption","Flamin' Queso","-","25.00%","Ignatia",
"Queso Geyser","Tiny Eruption","Flamin' Queso","-","25.00%","Bruticus, the Blazing",
"Queso Geyser","Small Eruption","Mild Queso","-","50.00%","Mild Spicekin",
"Queso Geyser","Small Eruption","Mild Queso","-","50.00%","Sizzle Pup",
"Queso Geyser","Small Eruption","Medium Queso","-","33.33%","Mild Spicekin",
"Queso Geyser","Small Eruption","Medium Queso","-","33.33%","Sizzle Pup",
"Queso Geyser","Small Eruption","Medium Queso","-","33.33%","Smoldersnap",
"Queso Geyser","Small Eruption","Hot Queso","-","25.00%","Mild Spicekin",
"Queso Geyser","Small Eruption","Hot Queso","-","25.00%","Sizzle Pup",
"Queso Geyser","Small Eruption","Hot Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Small Eruption","Hot Queso","-","25.00%","Ignatia",
"Queso Geyser","Small Eruption","Flamin' Queso","-","25.00%","Sizzle Pup",
"Queso Geyser","Small Eruption","Flamin' Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Small Eruption","Flamin' Queso","-","25.00%","Ignatia",
"Queso Geyser","Small Eruption","Flamin' Queso","-","25.00%","Bruticus, the Blazing",
"Queso Geyser","Medium Eruption","Mild Queso","-","50.00%","Mild Spicekin",
"Queso Geyser","Medium Eruption","Mild Queso","-","50.00%","Bearded Elder",
"Queso Geyser","Medium Eruption","Medium Queso","-","33.33%","Mild Spicekin",
"Queso Geyser","Medium Eruption","Medium Queso","-","33.33%","Bearded Elder",
"Queso Geyser","Medium Eruption","Medium Queso","-","33.33%","Smoldersnap",
"Queso Geyser","Medium Eruption","Hot Queso","-","25.00%","Mild Spicekin",
"Queso Geyser","Medium Eruption","Hot Queso","-","25.00%","Bearded Elder",
"Queso Geyser","Medium Eruption","Hot Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Medium Eruption","Hot Queso","-","25.00%","Ignatia",
"Queso Geyser","Medium Eruption","Flamin' Queso","-","25.00%","Bearded Elder",
"Queso Geyser","Medium Eruption","Flamin' Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Medium Eruption","Flamin' Queso","-","25.00%","Ignatia",
"Queso Geyser","Medium Eruption","Flamin' Queso","-","25.00%","Bruticus, the Blazing",
"Queso Geyser","Large Eruption","Mild Queso","-","50.00%","Mild Spicekin",
"Queso Geyser","Large Eruption","Mild Queso","-","50.00%","Cinderstorm",
"Queso Geyser","Large Eruption","Medium Queso","-","33.33%","Mild Spicekin",
"Queso Geyser","Large Eruption","Medium Queso","-","33.33%","Cinderstorm",
"Queso Geyser","Large Eruption","Medium Queso","-","33.33%","Smoldersnap",
"Queso Geyser","Large Eruption","Hot Queso","-","25.00%","Mild Spicekin",
"Queso Geyser","Large Eruption","Hot Queso","-","25.00%","Cinderstorm",
"Queso Geyser","Large Eruption","Hot Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Large Eruption","Hot Queso","-","25.00%","Ignatia",
"Queso Geyser","Large Eruption","Flamin' Queso","-","25.00%","Cinderstorm",
"Queso Geyser","Large Eruption","Flamin' Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Large Eruption","Flamin' Queso","-","25.00%","Ignatia",
"Queso Geyser","Large Eruption","Flamin' Queso","-","25.00%","Bruticus, the Blazing",
"Queso Geyser","Epic Eruption","Mild Queso","-","50.00%","Mild Spicekin",
"Queso Geyser","Epic Eruption","Mild Queso","-","50.00%","Stormsurge, the Vile Tempest",
"Queso Geyser","Epic Eruption","Medium Queso","-","33.33%","Mild Spicekin",
"Queso Geyser","Epic Eruption","Medium Queso","-","33.33%","Stormsurge, the Vile Tempest",
"Queso Geyser","Epic Eruption","Medium Queso","-","33.33%","Smoldersnap",
"Queso Geyser","Epic Eruption","Hot Queso","-","25.00%","Mild Spicekin",
"Queso Geyser","Epic Eruption","Hot Queso","-","25.00%","Stormsurge, the Vile Tempest",
"Queso Geyser","Epic Eruption","Hot Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Epic Eruption","Hot Queso","-","25.00%","Ignatia",
"Queso Geyser","Epic Eruption","Flamin' Queso","-","25.00%","Stormsurge, the Vile Tempest",
"Queso Geyser","Epic Eruption","Flamin' Queso","-","25.00%","Smoldersnap",
"Queso Geyser","Epic Eruption","Flamin' Queso","-","25.00%","Ignatia",
"Queso Geyser","Epic Eruption","Flamin' Queso","-","25.00%","Bruticus, the Blazing",
"Queso Geyser","Epic Eruption","Wildfire Queso","-","100.00%","Kalor'ignis of the Geyser",
