"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso River","-","Gouda","-","34.68%","Pump Raider",144171
"Queso River","-","Gouda","-","30.71%","Tiny Saboteur",144171
"Queso River","-","Gouda","-","29.66%","Queso Extractor",144171
"Queso River","-","Gouda","-","4.95%","Croquet Crusher",144171
"Queso River","-","Brie","-","35.03%","Pump Raider",12260
"Queso River","-","Brie","-","30.70%","Tiny Saboteur",12260
"Queso River","-","Brie","-","29.47%","Queso Extractor",12260
"Queso River","-","Brie","-","4.80%","Croquet Crusher",12260
"Queso River","-","SB+","-","31.10%","Tiny Saboteur",37958
"Queso River","-","SB+","-","29.08%","Pump Raider",37958
"Queso River","-","SB+","-","24.48%","Sleepy Merchant",37958
"Queso River","-","SB+","-","9.62%","Queso Extractor",37958
"Queso River","-","SB+","-","5.72%","Croquet Crusher",37958
"Queso River","-","Wildfire Queso","-","100.00%","Queen Quesada",5225
