"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"S.S. Huntington IV","-","Galleon Gouda","-","21.17%","Captain",6509
"S.S. Huntington IV","-","Galleon Gouda","-","19.17%","Buccaneer",6509
"S.S. Huntington IV","-","Galleon Gouda","-","12.11%","Pirate",6509
"S.S. Huntington IV","-","Galleon Gouda","-","9.65%","Hydra",6509
"S.S. Huntington IV","-","Galleon Gouda","-","9.63%","Crown Collector",6509
"S.S. Huntington IV","-","Galleon Gouda","-","9.23%","Squeaken",6509
"S.S. Huntington IV","-","Galleon Gouda","-","9.10%","Leviathan",6509
"S.S. Huntington IV","-","Galleon Gouda","-","6.58%","Mermouse",6509
"S.S. Huntington IV","-","Galleon Gouda","-","1.61%","Bottled",6509
"S.S. Huntington IV","-","Galleon Gouda","-","0.91%","Shipwrecked",6509
"S.S. Huntington IV","-","Galleon Gouda","-","0.84%","Shelder",6509
"S.S. Huntington IV","-","SB+","-","9.73%","Salt Water Snapper",27279
"S.S. Huntington IV","-","SB+","-","8.72%","Buccaneer",27279
"S.S. Huntington IV","-","SB+","-","8.28%","Pirate",27279
"S.S. Huntington IV","-","SB+","-","8.25%","Shipwrecked",27279
"S.S. Huntington IV","-","SB+","-","8.06%","Pinchy",27279
"S.S. Huntington IV","-","SB+","-","7.76%","Siren",27279
"S.S. Huntington IV","-","SB+","-","6.55%","Water Nymph",27279
"S.S. Huntington IV","-","SB+","-","6.38%","Briegull",27279
"S.S. Huntington IV","-","SB+","-","5.80%","Captain",27279
"S.S. Huntington IV","-","SB+","-","5.31%","Bottled",27279
"S.S. Huntington IV","-","SB+","-","4.70%","Squeaken",27279
"S.S. Huntington IV","-","SB+","-","4.69%","Leviathan",27279
"S.S. Huntington IV","-","SB+","-","4.60%","Hydra",27279
"S.S. Huntington IV","-","SB+","-","3.96%","Nibbler",27279
"S.S. Huntington IV","-","SB+","-","3.16%","Crown Collector",27279
"S.S. Huntington IV","-","SB+","-","2.34%","Cook",27279
"S.S. Huntington IV","-","SB+","-","1.33%","Mermouse",27279
"S.S. Huntington IV","-","SB+","-","0.21%","Swabbie",27279
"S.S. Huntington IV","-","SB+","-","0.16%","Shelder",27279
"S.S. Huntington IV","-","Gouda","-","12.48%","Briegull",23807
"S.S. Huntington IV","-","Gouda","-","9.67%","Salt Water Snapper",23807
"S.S. Huntington IV","-","Gouda","-","9.03%","Buccaneer",23807
"S.S. Huntington IV","-","Gouda","-","8.66%","Pinchy",23807
"S.S. Huntington IV","-","Gouda","-","8.51%","Pirate",23807
"S.S. Huntington IV","-","Gouda","-","8.12%","Shipwrecked",23807
"S.S. Huntington IV","-","Gouda","-","7.64%","Siren",23807
"S.S. Huntington IV","-","Gouda","-","6.23%","Water Nymph",23807
"S.S. Huntington IV","-","Gouda","-","5.87%","Captain",23807
"S.S. Huntington IV","-","Gouda","-","4.97%","Bottled",23807
"S.S. Huntington IV","-","Gouda","-","4.66%","Hydra",23807
"S.S. Huntington IV","-","Gouda","-","4.61%","Leviathan",23807
"S.S. Huntington IV","-","Gouda","-","4.58%","Squeaken",23807
"S.S. Huntington IV","-","Gouda","-","1.92%","Swabbie",23807
"S.S. Huntington IV","-","Gouda","-","1.45%","Crown Collector",23807
"S.S. Huntington IV","-","Gouda","-","1.44%","Mermouse",23807
"S.S. Huntington IV","-","Gouda","-","0.17%","Shelder",23807
"S.S. Huntington IV","-","Brie","-","12.93%","Briegull",5690
"S.S. Huntington IV","-","Brie","-","10.18%","Salt Water Snapper",5690
"S.S. Huntington IV","-","Brie","-","8.52%","Shipwrecked",5690
"S.S. Huntington IV","-","Brie","-","8.30%","Pirate",5690
"S.S. Huntington IV","-","Brie","-","8.22%","Buccaneer",5690
"S.S. Huntington IV","-","Brie","-","7.82%","Pinchy",5690
"S.S. Huntington IV","-","Brie","-","7.26%","Siren",5690
"S.S. Huntington IV","-","Brie","-","6.22%","Captain",5690
"S.S. Huntington IV","-","Brie","-","6.13%","Water Nymph",5690
"S.S. Huntington IV","-","Brie","-","5.91%","Bottled",5690
"S.S. Huntington IV","-","Brie","-","4.78%","Hydra",5690
"S.S. Huntington IV","-","Brie","-","4.64%","Leviathan",5690
"S.S. Huntington IV","-","Brie","-","4.31%","Squeaken",5690
"S.S. Huntington IV","-","Brie","-","1.72%","Swabbie",5690
"S.S. Huntington IV","-","Brie","-","1.53%","Crown Collector",5690
"S.S. Huntington IV","-","Brie","-","1.28%","Mermouse",5690
"S.S. Huntington IV","-","Brie","-","0.25%","Shelder",5690
"S.S. Huntington IV","-","Swiss","-","12.98%","Briegull",624
"S.S. Huntington IV","-","Swiss","-","9.78%","Salt Water Snapper",624
"S.S. Huntington IV","-","Swiss","-","9.46%","Buccaneer",624
"S.S. Huntington IV","-","Swiss","-","9.29%","Shipwrecked",624
"S.S. Huntington IV","-","Swiss","-","8.17%","Pinchy",624
"S.S. Huntington IV","-","Swiss","-","7.53%","Pirate",624
"S.S. Huntington IV","-","Swiss","-","7.21%","Water Nymph",624
"S.S. Huntington IV","-","Swiss","-","6.25%","Bottled",624
"S.S. Huntington IV","-","Swiss","-","5.45%","Siren",624
"S.S. Huntington IV","-","Swiss","-","5.45%","Captain",624
"S.S. Huntington IV","-","Swiss","-","4.33%","Squeaken",624
"S.S. Huntington IV","-","Swiss","-","4.33%","Leviathan",624
"S.S. Huntington IV","-","Swiss","-","4.17%","Hydra",624
"S.S. Huntington IV","-","Swiss","-","2.24%","Swabbie",624
"S.S. Huntington IV","-","Swiss","-","1.76%","Crown Collector",624
"S.S. Huntington IV","-","Swiss","-","1.28%","Mermouse",624
"S.S. Huntington IV","-","Swiss","-","0.32%","Shelder",624
