"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.87%","Sludge",1830
"Toxic Spill","Hero","Rancid Radioactive Blue","-","20.11%","Swamp Runner",1830
"Toxic Spill","Hero","Rancid Radioactive Blue","-","19.73%","Mutated Siblings",1830
"Toxic Spill","Hero","Rancid Radioactive Blue","-","17.16%","Spore",1830
"Toxic Spill","Hero","Rancid Radioactive Blue","-","16.89%","Monster Tail",1830
"Toxic Spill","Hero","Rancid Radioactive Blue","-","5.25%","Bog Beast",1830
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","11.99%","Monster Tail",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.36%","Scrap Metal Monster",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","9.36%","Gelatinous Octahedron",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.89%","Biohazard",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.60%","Sludge Soaker",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","7.31%","Spore",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.97%","Plague Hag",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.68%","Mutant Mongrel",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.68%","Bog Beast",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.39%","Telekinetic Mutant",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","4.09%","Mutant Ninja",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.51%","Tentacle",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.51%","Mutated Siblings",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","3.22%","Sludge",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.92%","Outbreak Assassin",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.92%","Toxic Warrior",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.92%","Slimefist",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","2.05%","Swamp Runner",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","1.46%","The Menace",342
"Toxic Spill","Hero","Magical Rancid Radioactive Blue","-","1.17%","Sludge Swimmer",342
"Toxic Spill","Knight","Rancid Radioactive Blue","-","29.51%","Monster Tail",1830
"Toxic Spill","Knight","Rancid Radioactive Blue","-","29.13%","Spore",1830
"Toxic Spill","Knight","Rancid Radioactive Blue","-","13.33%","Sludge",1830
"Toxic Spill","Knight","Rancid Radioactive Blue","-","11.64%","Gelatinous Octahedron",1830
"Toxic Spill","Knight","Rancid Radioactive Blue","-","6.39%","Bog Beast",1830
"Toxic Spill","Knight","Rancid Radioactive Blue","-","5.19%","Mutated Siblings",1830
"Toxic Spill","Knight","Rancid Radioactive Blue","-","4.81%","Swamp Runner",1830
