"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Valour Rift","Outside","Gauntlet String","-","27.96%","Timid Explorer","2425"
"Valour Rift","Outside","Gauntlet String","-","72.04%","Elixir Maker","2425"
"Valour Rift","Outside","Magical String","-","25.59%","Timid Explorer","1657"
"Valour Rift","Outside","Magical String","-","74.41%","Elixir Maker","1657"
"Valour Rift","Outside","Brie String","-","36.25%","Timid Explorer","13679"
"Valour Rift","Outside","Brie String","-","63.75%","Elixir Maker","13679"
"Valour Rift","Outside","Swiss String","-","47.00%","Timid Explorer",
"Valour Rift","Outside","Swiss String","-","53.00%","Elixir Maker",
"Valour Rift","Outside","Marble String","-","46.00%","Timid Explorer",
"Valour Rift","Outside","Marble String","-","54.00%","Elixir Maker",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Terrified Adventurer",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Unwavering Adventurer",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Berzerker",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Lumi-lancer",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Puppetto",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Puppet Champion",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Possessed Armaments",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Prestigious Adventurer",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Soldier of the Shade",
"Valour Rift","Floor 1","Gauntlet String","-","10.00%","Bulwark of Ascent",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Terrified Adventurer",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Unwavering Adventurer",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Berzerker",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Lumi-lancer",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Cutpurse",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Champion Thief",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Possessed Armaments",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Prestigious Adventurer",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Soldier of the Shade",
"Valour Rift","Floor 2","Gauntlet String","-","10.00%","Bulwark of Ascent",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Terrified Adventurer",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Unwavering Adventurer",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Berzerker",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Lumi-lancer",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Martial",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Praetorian Champion",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Possessed Armaments",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Prestigious Adventurer",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Soldier of the Shade",
"Valour Rift","Floor 3","Gauntlet String","-","10.00%","Bulwark of Ascent",
"Valour Rift","Floor 4","Gauntlet String","-","10.00%","Terrified Adventurer",
"Valour Rift","Floor 4","Gauntlet String","-","10.00%","Unwavering Adventurer",
"Valour Rift","Floor 4","Gauntlet String","-","10.00%","Berzerker",
"Valour Rift","Floor 4","Gauntlet String","-","10.00%","Lumi-lancer",
