"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Forbidden Grove","open","Ancient","-","18.02%","Gargoyle",2702
"Forbidden Grove","open","Ancient","-","15.14%","Spider",2702
"Forbidden Grove","open","Ancient","-","13.51%","Ghost",2702
"Forbidden Grove","open","Ancient","-","10.40%","Scavenger",2702
"Forbidden Grove","open","Ancient","-","8.11%","Vampire",2702
"Forbidden Grove","open","Ancient","-","6.96%","Zombie",2702
"Forbidden Grove","open","Ancient","-","6.74%","Bat",2702
"Forbidden Grove","open","Ancient","-","5.48%","Spectre",2702
"Forbidden Grove","open","Ancient","-","5.22%","Golem",2702
"Forbidden Grove","open","Ancient","-","2.78%","Gorgon",2702
"Forbidden Grove","open","Ancient","-","2.37%","Gate Guardian",2702
"Forbidden Grove","open","Ancient","-","2.15%","Reaper",2702
"Forbidden Grove","open","Ancient","-","2.15%","Ravenous Zombie",2702
"Forbidden Grove","open","Ancient","-","1.00%","Sorcerer",2702
"Forbidden Grove","closed","Ancient","-","100.00%","Realm Ripper",342
"Forbidden Grove","open","Moon","-","52.83%","Lycan",212
"Forbidden Grove","open","Moon","-","18.87%","Scavenger",212
"Forbidden Grove","open","Moon","-","13.21%","Ghost",212
"Forbidden Grove","open","Moon","-","8.02%","Sorcerer",212
"Forbidden Grove","open","Moon","-","7.08%","Vampire",212
"Forbidden Grove","open","Radioactive Blue","-","26.70%","Mutated Grey",1296
"Forbidden Grove","open","Radioactive Blue","-","23.84%","Mutated White",1296
"Forbidden Grove","open","Radioactive Blue","-","20.60%","Ghost",1296
"Forbidden Grove","open","Radioactive Blue","-","13.43%","Mutated Brown",1296
"Forbidden Grove","open","Radioactive Blue","-","9.80%","Zombie",1296
"Forbidden Grove","open","Radioactive Blue","-","3.94%","Ravenous Zombie",1296
"Forbidden Grove","open","Radioactive Blue","-","1.62%","Lycan",1296
"Forbidden Grove","open","Radioactive Blue","-","0.08%","Black Widow",1296
"Forbidden Grove","open","Rancid Radioactive Blue","-","29.41%","Mutated Grey",102
"Forbidden Grove","open","Rancid Radioactive Blue","-","25.49%","Mutated White",102
"Forbidden Grove","open","Rancid Radioactive Blue","-","19.61%","Ghost",102
"Forbidden Grove","open","Rancid Radioactive Blue","-","9.80%","Zombie",102
"Forbidden Grove","open","Rancid Radioactive Blue","-","8.82%","Mutated Brown",102
"Forbidden Grove","open","Rancid Radioactive Blue","-","3.92%","Lycan",102
"Forbidden Grove","open","Rancid Radioactive Blue","-","2.94%","Ravenous Zombie",102
