"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fort Rox","Day","Gouda","-","29.77%","Meteorite Miner",13818
"Fort Rox","Day","Gouda","-","29.53%","Mischievous Meteorite Miner",13818
"Fort Rox","Day","Gouda","-","17.75%","Hardworking Hauler",13818
"Fort Rox","Day","Gouda","-","11.74%","Meteorite Snacker",13818
"Fort Rox","Day","Gouda","-","6.09%","Meteorite Mover",13818
"Fort Rox","Day","Gouda","-","5.12%","Mining Materials Manager",13818
"Fort Rox","Day","Brie","-","30.08%","Mischievous Meteorite Miner",1955
"Fort Rox","Day","Brie","-","28.95%","Meteorite Miner",1955
"Fort Rox","Day","Brie","-","18.98%","Hardworking Hauler",1955
"Fort Rox","Day","Brie","-","11.25%","Meteorite Snacker",1955
"Fort Rox","Day","Brie","-","5.47%","Mining Materials Manager",1955
"Fort Rox","Day","Brie","-","5.27%","Meteorite Mover",1955
"Fort Rox","Day","SB+","-","24.57%","Mischievous Meteorite Miner",1103
"Fort Rox","Day","SB+","-","24.03%","Meteorite Miner",1103
"Fort Rox","Day","SB+","-","17.32%","Hardworking Hauler",1103
"Fort Rox","Day","SB+","-","17.23%","Mining Materials Manager",1103
"Fort Rox","Day","SB+","-","14.42%","Meteorite Snacker",1103
"Fort Rox","Day","SB+","-","2.45%","Meteorite Mover",1103
"Fort Rox","Day","Crescent","-","26.67%","Meteorite Miner",195
"Fort Rox","Day","Crescent","-","23.59%","Mischievous Meteorite Miner",195
"Fort Rox","Day","Crescent","-","18.46%","Meteorite Snacker",195
"Fort Rox","Day","Crescent","-","15.38%","Hardworking Hauler",195
"Fort Rox","Day","Crescent","-","11.79%","Meteorite Mover",195
"Fort Rox","Day","Crescent","-","4.10%","Mining Materials Manager",195
"Fort Rox","Twilight","Gouda","-","24.12%","Battering Ram",199
"Fort Rox","Twilight","Gouda","-","17.59%","Werehauler",199
"Fort Rox","Twilight","Gouda","-","17.09%","Mischievous Wereminer",199
"Fort Rox","Twilight","Gouda","-","16.58%","Reveling Lycanthrope",199
"Fort Rox","Twilight","Gouda","-","11.06%","Nightmancer",199
"Fort Rox","Twilight","Gouda","-","8.54%","Wereminer",199
"Fort Rox","Twilight","Gouda","-","5.03%","Alpha Weremouse",199
"Fort Rox","Twilight","Crescent","-","23.15%","Werehauler",9224
"Fort Rox","Twilight","Crescent","-","18.78%","Alpha Weremouse",9224
"Fort Rox","Twilight","Crescent","-","15.19%","Reveling Lycanthrope",9224
"Fort Rox","Twilight","Crescent","-","14.73%","Wereminer",9224
"Fort Rox","Twilight","Crescent","-","14.44%","Mischievous Wereminer",9224
"Fort Rox","Twilight","Crescent","-","7.97%","Night Shift Materials Manager",9224
"Fort Rox","Twilight","Crescent","-","5.75%","Nightmancer",9224
"Fort Rox","Twilight","Moon","-","20.82%","Mischievous Wereminer",2800
"Fort Rox","Twilight","Moon","-","17.18%","Alpha Weremouse",2800
"Fort Rox","Twilight","Moon","-","16.50%","Werehauler",2800
"Fort Rox","Twilight","Moon","-","15.61%","Wereminer",2800
"Fort Rox","Twilight","Moon","-","14.39%","Reveling Lycanthrope",2800
"Fort Rox","Twilight","Moon","-","10.25%","Night Shift Materials Manager",2800
"Fort Rox","Twilight","Moon","-","5.25%","Nightmancer",2800
"Fort Rox","Midnight","Crescent","-","14.20%","Alpha Weremouse",5521
"Fort Rox","Midnight","Crescent","-","12.82%","Werehauler",5521
"Fort Rox","Midnight","Crescent","-","11.59%","Nightmancer",5521
"Fort Rox","Midnight","Crescent","-","10.47%","Mischievous Wereminer",5521
"Fort Rox","Midnight","Crescent","-","9.40%","Wealthy Werewarrior",5521
"Fort Rox","Midnight","Crescent","-","8.75%","Wereminer",5521
"Fort Rox","Midnight","Crescent","-","8.06%","Night Shift Materials Manager",5521
"Fort Rox","Midnight","Crescent","-","5.94%","Reveling Lycanthrope",5521
"Fort Rox","Midnight","Crescent","-","5.89%","Hypnotized Gunslinger",5521
"Fort Rox","Midnight","Crescent","-","4.76%","Night Watcher",5521
"Fort Rox","Midnight","Crescent","-","4.55%","Arcane Summoner",5521
"Fort Rox","Midnight","Crescent","-","3.57%","Meteorite Golem",5521
"Fort Rox","Midnight","Moon","-","20.16%","Alpha Weremouse",1751
"Fort Rox","Midnight","Moon","-","12.28%","Mischievous Wereminer",1751
"Fort Rox","Midnight","Moon","-","9.77%","Wealthy Werewarrior",1751
"Fort Rox","Midnight","Moon","-","9.71%","Nightmancer",1751
"Fort Rox","Midnight","Moon","-","9.25%","Wereminer",1751
"Fort Rox","Midnight","Moon","-","9.02%","Night Shift Materials Manager",1751
"Fort Rox","Midnight","Moon","-","6.23%","Werehauler",1751
"Fort Rox","Midnight","Moon","-","6.11%","Reveling Lycanthrope",1751
"Fort Rox","Midnight","Moon","-","4.74%","Night Watcher",1751
"Fort Rox","Midnight","Moon","-","4.63%","Hypnotized Gunslinger",1751
"Fort Rox","Midnight","Moon","-","4.40%","Meteorite Golem",1751
"Fort Rox","Midnight","Moon","-","3.71%","Arcane Summoner",1751
"Fort Rox","Pitch","Crescent","-","13.38%","Hypnotized Gunslinger",1749
"Fort Rox","Pitch","Crescent","-","10.63%","Nightmancer",1749
"Fort Rox","Pitch","Crescent","-","9.43%","Wealthy Werewarrior",1749
"Fort Rox","Pitch","Crescent","-","8.00%","Nightfire",1749
"Fort Rox","Pitch","Crescent","-","7.43%","Night Shift Materials Manager",1749
"Fort Rox","Pitch","Crescent","-","7.20%","Alpha Weremouse",1749
"Fort Rox","Pitch","Crescent","-","6.17%","Werehauler",1749
"Fort Rox","Pitch","Crescent","-","5.95%","Meteorite Golem",1749
"Fort Rox","Pitch","Crescent","-","5.43%","Arcane Summoner",1749
"Fort Rox","Pitch","Crescent","-","5.15%","Cursed Taskmaster",1749
"Fort Rox","Pitch","Crescent","-","5.03%","Wereminer",1749
"Fort Rox","Pitch","Crescent","-","4.40%","Night Watcher",1749
"Fort Rox","Pitch","Crescent","-","4.29%","Reveling Lycanthrope",1749
"Fort Rox","Pitch","Crescent","-","3.83%","Meteorite Mystic",1749
"Fort Rox","Pitch","Crescent","-","3.66%","Mischievous Wereminer",1749
"Fort Rox","Pitch","Moon","-","16.49%","Hypnotized Gunslinger",776
"Fort Rox","Pitch","Moon","-","10.82%","Wealthy Werewarrior",776
"Fort Rox","Pitch","Moon","-","10.18%","Night Shift Materials Manager",776
"Fort Rox","Pitch","Moon","-","7.35%","Alpha Weremouse",776
"Fort Rox","Pitch","Moon","-","6.70%","Nightmancer",776
"Fort Rox","Pitch","Moon","-","6.19%","Night Watcher",776
"Fort Rox","Pitch","Moon","-","6.19%","Meteorite Golem",776
"Fort Rox","Pitch","Moon","-","5.93%","Cursed Taskmaster",776
"Fort Rox","Pitch","Moon","-","5.80%","Wereminer",776
"Fort Rox","Pitch","Moon","-","4.51%","Arcane Summoner",776
"Fort Rox","Pitch","Moon","-","4.38%","Mischievous Wereminer",776
"Fort Rox","Pitch","Moon","-","4.12%","Nightfire",776
"Fort Rox","Pitch","Moon","-","4.12%","Werehauler",776
"Fort Rox","Pitch","Moon","-","3.74%","Meteorite Mystic",776
"Fort Rox","Pitch","Moon","-","3.48%","Reveling Lycanthrope",776
"Fort Rox","Utter Darkness","Crescent","-","15.72%","Hypnotized Gunslinger",3136
"Fort Rox","Utter Darkness","Crescent","-","12.34%","Cursed Taskmaster",3136
"Fort Rox","Utter Darkness","Crescent","-","11.38%","Nightfire",3136
"Fort Rox","Utter Darkness","Crescent","-","11.22%","Meteorite Golem",3136
