Location,Phase,Cheese,Charm,Attraction Rate,Mouse,Sample Size
Moussu Picchu,-,SB+,-,21.98%,Cloud Collector,3539
Moussu Picchu,-,SB+,-,21.42%,Windy Farmer,3539
Moussu Picchu,-,SB+,-,19.35%,Rainwater Purifier,3539
Moussu Picchu,-,SB+,-,17.68%,Breeze Borrower,3539
Moussu Picchu,-,SB+,-,9.10%,Nightshade Maiden,3539
Moussu Picchu,-,SB+,-,7.25%,Nightshade Flower Girl,3539
Moussu Picchu,-,SB+,-,3.22%,Spore Salesman,3539
Moussu Picchu,-,Brie,-,22.10%,Windy Farmer,2996
Moussu Picchu,-,Brie,-,21.46%,Cloud Collector,2996
Moussu Picchu,-,Brie,-,16.83%,Spore Salesman,2996
Moussu Picchu,-,Brie,-,13.92%,Nightshade Flower Girl,2996
Moussu Picchu,-,Brie,-,13.32%,Breeze Borrower,2996
Moussu Picchu,-,Brie,-,12.37%,Rainwater Purifier,2996
Moussu Picchu,-,Glowing Gruyere,-,30.41%,Rainwater Purifier,19973
Moussu Picchu,-,Glowing Gruyere,-,28.39%,Breeze Borrower,19973
Moussu Picchu,-,Glowing Gruyere,-,16.07%,Cloud Collector,19973
Moussu Picchu,-,Glowing Gruyere,-,15.63%,Windy Farmer,19973
Moussu Picchu,-,Glowing Gruyere,-,9.50%,Homeopathic Apothecary,19973
Moussu Picchu,-,Gouda,-,22.19%,Windy Farmer,49590
Moussu Picchu,-,Gouda,-,21.83%,Cloud Collector,49590
Moussu Picchu,-,Gouda,-,15.77%,Spore Salesman,49590
Moussu Picchu,-,Gouda,-,14.91%,Nightshade Flower Girl,49590
Moussu Picchu,-,Gouda,-,12.69%,Rainwater Purifier,49590
Moussu Picchu,-,Gouda,-,12.61%,Breeze Borrower,49590
Moussu Picchu,Rain low,Rainy,-,60.00%,Rain Wallower,
Moussu Picchu,Rain low,Rainy,-,40.00%,Rain Collector,
Moussu Picchu,Rain medium,Rainy,-,58.00%,Rain Summoner,
Moussu Picchu,Rain medium,Rainy,-,42.00%,Monsoon Maker,
Moussu Picchu,Rain high,Rainy,-,58.00%,Monsoon Maker,
Moussu Picchu,Rain high,Rainy,-,42.00%,Rainmancer,
Moussu Picchu,Rain max,Rainy,-,100.00%,Rainmancer,
Moussu Picchu,Wind low,Windy,-,60.00%,Wind Watcher,
Moussu Picchu,Wind low,Windy,-,40.00%,Charming Chimer,
Moussu Picchu,Wind medium,Windy,-,58.00%,Fluttering Flutist,
Moussu Picchu,Wind medium,Windy,-,42.00%,Cycloness,
Moussu Picchu,Wind high,Windy,-,58.00%,Cycloness,
Moussu Picchu,Wind high,Windy,-,42.00%,Wind Warrior,
Moussu Picchu,Wind max,Windy,-,100.00%,Wind Warrior,
Moussu Picchu,Storm low,Dragonvine,-,60.00%,Thunder Strike,
Moussu Picchu,Storm low,Dragonvine,-,40.00%,Violet Stormchild,
Moussu Picchu,Storm medium,Dragonvine,-,58.00%,Thunderlord,
Moussu Picchu,Storm medium,Dragonvine,-,42.00%,Thundering Watcher,
Moussu Picchu,Storm high,Dragonvine,-,60.00%,Thundering Watcher,
Moussu Picchu,Storm high,Dragonvine,-,35.00%,"Ful'Mina, The Mountain Queen",
Moussu Picchu,Storm high,Dragonvine,-,5.00%,Dragoon,
Moussu Picchu,Storm max,Dragonvine,-,100.00%,"Ful'Mina, The Mountain Queen",
