"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso River","-","Gouda","-","34.15%","Pump Raider",6308
"Queso River","-","Gouda","-","30.68%","Tiny Saboteur",6308
"Queso River","-","Gouda","-","29.82%","Queso Extractor",6308
"Queso River","-","Gouda","-","5.36%","Croquet Crusher",6308
"Queso River","-","Brie","-","36.18%","Pump Raider",456
"Queso River","-","Brie","-","30.26%","Tiny Saboteur",456
"Queso River","-","Brie","-","28.51%","Queso Extractor",456
"Queso River","-","Brie","-","5.04%","Croquet Crusher",456
"Queso River","-","SB+","-","31.95%","Tiny Saboteur",5486
"Queso River","-","SB+","-","28.82%","Pump Raider",5486
"Queso River","-","SB+","-","23.95%","Sleepy Merchant",5486
"Queso River","-","SB+","-","9.53%","Queso Extractor",5486
"Queso River","-","SB+","-","5.74%","Croquet Crusher",5486
"Queso River","-","Wildfire Queso","-","100.00%","Queen Quesada",22
