Location,Phase,Cheese,Charm,Attraction Rate,Mouse,Sample Size
Moussu Picchu,Low/Low,SB+,-,21.98%,Cloud Collector,3539
Moussu Picchu,Low/Low,SB+,-,21.41%,Windy Farmer,3539
Moussu Picchu,Low/Low,SB+,-,19.34%,Rainwater Purifier,3539
Moussu Picchu,Low/Low,SB+,-,17.67%,Breeze Borrower,3539
Moussu Picchu,Low/Low,SB+,-,9.09%,Nightshade Maiden,3539
Moussu Picchu,Low/Low,SB+,-,7.24%,Nightshade Flower Girl,3539
Moussu Picchu,Low/Low,SB+,-,3.21%,Spore Salesman,3539
Moussu Picchu,Low/Low,Brie,-,22.1%,Windy Farmer,2996
Moussu Picchu,Low/Low,Brie,-,21.46%,Cloud Collector,2996
Moussu Picchu,Low/Low,Brie,-,16.83%,Spore Salesman,2996
Moussu Picchu,Low/Low,Brie,-,13.92%,Nightshade Flower Girl,2996
Moussu Picchu,Low/Low,Brie,-,13.32%,Breeze Borrower,2996
Moussu Picchu,Low/Low,Brie,-,12.37%,Rainwater Purifier,2996
Moussu Picchu,Low/Low,Glowing Gruyere,-,30.4%,Rainwater Purifier,19973
Moussu Picchu,Low/Low,Glowing Gruyere,-,28.38%,Breeze Borrower,19973
Moussu Picchu,Low/Low,Glowing Gruyere,-,16.06%,Cloud Collector,19973
Moussu Picchu,Low/Low,Glowing Gruyere,-,15.62%,Windy Farmer,19973
Moussu Picchu,Low/Low,Glowing Gruyere,-,9.48%,Homeopathic Apothecary,19973
Moussu Picchu,Low/Low,Gouda,-,22.19%,Windy Farmer,49590
Moussu Picchu,Low/Low,Gouda,-,21.83%,Cloud Collector,49590
Moussu Picchu,Low/Low,Gouda,-,15.77%,Spore Salesman,49590
Moussu Picchu,Low/Low,Gouda,-,14.91%,Nightshade Flower Girl,49590
Moussu Picchu,Low/Low,Gouda,-,12.69%,Rainwater Purifier,49590
Moussu Picchu,Low/Low,Gouda,-,12.61%,Breeze Borrower,49590
Moussu Picchu,Low/Low,Gouda,-,12.61%,Breeze Borrower,49590
Moussu Picchu,Rain Low,Rainy,-,60.00%,Rain Wallower,
Moussu Picchu,Rain Low,Rainy,-,40.00%,Rain Collector,
Moussu Picchu,Rain Medium,Rainy,-,58.00%,Rain Summoner,
Moussu Picchu,Rain Medium,Rainy,-,42.00%,Monsoon Maker,
Moussu Picchu,Rain High,Rainy,-,60.00%,Monsoon Maker,
Moussu Picchu,Rain High,Rainy,-,40.00%,Rainmancer,
Moussu Picchu,Rain Max,Rainy,-,100.00%,Rainmancer,
Moussu Picchu,Wind Low,Windy,-,60.00%,Wind Watcher,
Moussu Picchu,Wind Low,Windy,-,40.00%,Charming Chimer,
Moussu Picchu,Wind Medium,Windy,-,58.00%,Fluttering Flutist,
Moussu Picchu,Wind Medium,Windy,-,42.00%,Cycloness,
Moussu Picchu,Wind High,Windy,-,60.00%,Cycloness,
Moussu Picchu,Wind High,Windy,-,40.00%,Wind Warrior,
Moussu Picchu,Wind Max,Windy,-,100.00%,Wind Warrior,
Moussu Picchu,Low/Low,Dragonvine,-,60%,Thunder Strike,
Moussu Picchu,Low/Low,Dragonvine,-,40%,Violet Stormchild,
Moussu Picchu,Medium/Medium,Dragonvine,-,58%,Thunderlord,
Moussu Picchu,Medium/Medium,Dragonvine,-,42%,Thundering Watcher,
Moussu Picchu,High/High,Dragonvine,-,60%,Thundering Watcher,
Moussu Picchu,High/High,Dragonvine,-,35%,Ful'Mina,
Moussu Picchu,High/High,Dragonvine,-,5%,Dragoon,
Moussu Picchu,Max/Max,Dragonvine,-,100%,Ful'Mina,
