Location,Phase,Cheese,Charm,Attraction Rate,Mouse,Sample Size
Acolyte Realm,-,Runic,-,19.31%,Golem,
Acolyte Realm,-,Runic,-,18.22%,Gorgon,
Acolyte Realm,-,Runic,-,18.08%,Spectre,
Acolyte Realm,-,Runic,-,16.35%,Sorcerer,
Acolyte Realm,-,Runic,-,8.27%,Acolyte,
Acolyte Realm,-,Runic,-,8.22%,Wight,
Acolyte Realm,-,Runic,-,8.20%,Lich,
Acolyte Realm,-,Runic,-,1.92%,Chrono,
Acolyte Realm,-,Runic,-,1.42%,Gate Guardian,
Acolyte Realm,-,Ancient,-,27.48%,Golem,
Acolyte Realm,-,Ancient,-,24.69%,Spectre,
Acolyte Realm,-,Ancient,-,21.88%,Gorgon,
Acolyte Realm,-,Ancient,-,16.69%,Sorcerer,
Acolyte Realm,-,Ancient,-,9.26%,Gate Guardian,
Acolyte Realm,-,Radioactive Blue,-,33.21%,Gate Guardian,
Acolyte Realm,-,Radioactive Blue,-,32.82%,Golem,
Acolyte Realm,-,Radioactive Blue,-,13.56%,Mutated Grey,
Acolyte Realm,-,Radioactive Blue,-,13.19%,Mutated White,
Acolyte Realm,-,Radioactive Blue,-,7.01%,Mutated Brown,
Acolyte Realm,-,Radioactive Blue,-,0.22%,Black Widow,
Balack's Cove,Low Tide,Vanilla Stilton,-,18.98%,Brimstone,
Balack's Cove,Low Tide,Vanilla Stilton,-,18.30%,Twisted Fiend,
Balack's Cove,Low Tide,Vanilla Stilton,-,17.96%,Davy Jones,
Balack's Cove,Low Tide,Vanilla Stilton,-,15.47%,Enslaved Spirit,
Balack's Cove,Low Tide,Vanilla Stilton,-,9.00%,Nerg Lich,
Balack's Cove,Low Tide,Vanilla Stilton,-,8.75%,Elub Lich,
Balack's Cove,Low Tide,Vanilla Stilton,-,8.66%,Derr Lich,
Balack's Cove,Low Tide,Vanilla Stilton,-,2.87%,Tidal Fisher,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,22.76%,Enslaved Spirit,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,17.27%,Elub Lich,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,16.82%,Nerg Lich,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,16.65%,Derr Lich,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,11.10%,Balack the Banished,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,5.21%,Twisted Fiend,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,5.17%,Brimstone,
Balack's Cove,Low Tide,Vengeful Vanilla Stilton,-,5.01%,Davy Jones,
Balack's Cove,Mid Tide,Vanilla Stilton,-,18.78%,Riptide,
Balack's Cove,Mid Tide,Vanilla Stilton,-,15.18%,Enslaved Spirit,
Balack's Cove,Mid Tide,Vanilla Stilton,-,14.54%,Twisted Fiend,
Balack's Cove,Mid Tide,Vanilla Stilton,-,14.13%,Davy Jones,
Balack's Cove,Mid Tide,Vanilla Stilton,-,14.02%,Brimstone,
Balack's Cove,Mid Tide,Vanilla Stilton,-,8.47%,Derr Lich,
Balack's Cove,Mid Tide,Vanilla Stilton,-,7.76%,Nerg Lich,
Balack's Cove,Mid Tide,Vanilla Stilton,-,7.12%,Elub Lich,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,19.90%,Derr Lich,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,19.42%,Nerg Lich,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,18.16%,Elub Lich,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,13.59%,Balack the Banished,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,10.97%,Enslaved Spirit,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,10.39%,Riptide,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,3.01%,Twisted Fiend,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,2.91%,Brimstone,
Balack's Cove,Mid Tide,Vengeful Vanilla Stilton,-,1.65%,Davy Jones,
Balack's Cove,High Tide,Vanilla Stilton,-,85.39%,Riptide,
Balack's Cove,High Tide,Vanilla Stilton,-,2.71%,Enslaved Spirit,
Balack's Cove,High Tide,Vanilla Stilton,-,2.64%,Brimstone,
Balack's Cove,High Tide,Vanilla Stilton,-,2.45%,Twisted Fiend,
Balack's Cove,High Tide,Vanilla Stilton,-,2.12%,Davy Jones,
Balack's Cove,High Tide,Vanilla Stilton,-,1.72%,Nerg Lich,
Balack's Cove,High Tide,Vanilla Stilton,-,1.52%,Derr Lich,
Balack's Cove,High Tide,Vanilla Stilton,-,1.45%,Elub Lich,
Balack's Cove,High Tide,Vengeful Vanilla Stilton,-,73.68%,Riptide,
Balack's Cove,High Tide,Vengeful Vanilla Stilton,-,6.58%,Nerg Lich,
Balack's Cove,High Tide,Vengeful Vanilla Stilton,-,5.26%,Balack the Banished,
Balack's Cove,High Tide,Vengeful Vanilla Stilton,-,5.26%,Elub Lich,
