Location,Phase,Cheese,Charm,,Mouse
Labyrinth,Intersection,Glowing Gruyere,-,43.31%,Lost Legionnaire
Labyrinth,Intersection,Glowing Gruyere,-,39.97%,Lost
Labyrinth,Intersection,Glowing Gruyere,-,16.72%,Corridor Bruiser
Labyrinth,Intersection,SB+/Gouda/Brie,-,39.67%,Lost Legionnaire
Labyrinth,Intersection,SB+/Gouda/Brie,-,35.41%,Lost
Labyrinth,Intersection,SB+/Gouda/Brie,-,13.84%,Corridor Bruiser
Labyrinth,Intersection,SB+/Gouda/Brie,-,11.09%,Shadow Stalker
Labyrinth,Plain Fealty,Glowing Gruyere,-,26.16%,Drudge
Labyrinth,Plain Fealty,Glowing Gruyere,-,22.68%,Masked Pikeman
Labyrinth,Plain Fealty,Glowing Gruyere,-,17.89%,Corridor Bruiser
Labyrinth,Plain Fealty,Glowing Gruyere,-,15.78%,Lost Legionnaire
Labyrinth,Plain Fealty,Glowing Gruyere,-,15.58%,Lost
Labyrinth,Plain Fealty,Glowing Gruyere,-,1.92%,Reanimated Carver
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,21.07%,Drudge
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,18.96%,Shadow Stalker
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,18.47%,Masked Pikeman
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,14.78%,Corridor Bruiser
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,12.63%,Lost Legionnaire
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,12.37%,Lost
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,1.71%,Reanimated Carver
Labyrinth,Plain Tech,Glowing Gruyere,-,26.94%,RR-8
Labyrinth,Plain Tech,Glowing Gruyere,-,22.53%,Ash Golem
Labyrinth,Plain Tech,Glowing Gruyere,-,17.99%,Corridor Bruiser
Labyrinth,Plain Tech,Glowing Gruyere,-,15.49%,Lost Legionnaire
Labyrinth,Plain Tech,Glowing Gruyere,-,15.13%,Lost
Labyrinth,Plain Tech,Glowing Gruyere,-,1.91%,Reanimated Carver
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,21.59%,RR-8
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,18.73%,Shadow Stalker
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,17.99%,Ash Golem
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,14.80%,Corridor Bruiser
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,12.81%,Lost
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,12.53%,Lost Legionnaire
Labyrinth,Plain Tech,SB+/Gouda/Brie,-,1.55%,Reanimated Carver
Labyrinth,Plain Scholar,Glowing Gruyere,-,26.55%,Summoning Scholar
Labyrinth,Plain Scholar,Glowing Gruyere,-,22.39%,Sanguinarian
Labyrinth,Plain Scholar,Glowing Gruyere,-,18.29%,Corridor Bruiser
Labyrinth,Plain Scholar,Glowing Gruyere,-,15.69%,Lost Legionnaire
Labyrinth,Plain Scholar,Glowing Gruyere,-,14.97%,Lost
Labyrinth,Plain Scholar,Glowing Gruyere,-,2.12%,Reanimated Carver
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,21.34%,Summoning Scholar
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,19.04%,Shadow Stalker
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,18.26%,Sanguinarian
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,14.73%,Corridor Bruiser
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,12.55%,Lost
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,12.46%,Lost Legionnaire
Labyrinth,Plain Scholar,SB+/Gouda/Brie,-,1.63%,Reanimated Carver
Labyrinth,Plain Treasury,Glowing Gruyere,-,27.62%,Hired Eidolon
Labyrinth,Plain Treasury,Glowing Gruyere,-,21.81%,Mimic
Labyrinth,Plain Treasury,Glowing Gruyere,-,20.55%,Lost Legionnaire
Labyrinth,Plain Treasury,Glowing Gruyere,-,14.93%,Lost
Labyrinth,Plain Treasury,Glowing Gruyere,-,13.27%,Corridor Bruiser
Labyrinth,Plain Treasury,Glowing Gruyere,-,1.83%,Reanimated Carver
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,23.29%,Hired Eidolon
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,18.55%,Mimic
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,17.90%,Lost Legionnaire
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,14.73%,Shadow Stalker
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,13.03%,Lost
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,11.05%,Corridor Bruiser
Labyrinth,Plain Treasury,SB+/Gouda/Brie,-,1.45%,Reanimated Carver
Labyrinth,Plain Farming,Glowing Gruyere,-,31.36%,Mush Monster
Labyrinth,Plain Farming,Glowing Gruyere,-,20.52%,Lost Legionnaire
Labyrinth,Plain Farming,Glowing Gruyere,-,20.03%,Lost
Labyrinth,Plain Farming,Glowing Gruyere,-,17.75%,Mushroom Harvester
Labyrinth,Plain Farming,Glowing Gruyere,-,5.17%,Corridor Bruiser
Labyrinth,Plain Farming,Glowing Gruyere,-,5.17%,Reanimated Carver
